trajectory_id,seed,arm,original_role,v2_role,anchor,bank,bank_role,contrast,group,delta_X,delta_S,delta_W,delta_I,delta_v,baseline_v,candidate_v,baseline_qX,candidate_qX,q_denominator_status,e_norm,inference_alias,T_minus_B_minus_C_maxabs
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,1,fit,no_x_off_1_minus_joint_0,3,-2.0454262396518475e-05,-0.00010403960703473979,0.0003881432603336509,-0.0002636493909023822,0.0002636493909023822,0.8893465959802676,0.88961024537117,0.0745996590638359,0.07455455794536409,PRESENT,0.02789840392157928,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,1,fit,no_x_off_1_minus_joint_0,4,-1.1488979066525079e-05,-0.0001305144649329214,0.00042715860332709344,-0.00028515515932773367,0.00028515515932773367,0.8903564405075826,0.8906415956669103,0.0746161033351862,0.07457931396215343,PRESENT,0.02789840392157928,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,1,fit,no_x_off_1_minus_joint_0,5,-1.2690319301694265e-05,-0.00012940430158580338,0.00041648860099837326,-0.00027439398011092645,0.00027439398011092645,0.8906042076548509,0.8908786016349619,0.07470396365000757,0.07466670982310368,PRESENT,0.02789840392157928,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,2,fit,joint_1_minus_joint_0,0,-0.0004438127588278044,-0.0017683767005756744,0.0040622545384467,-0.001850065079043206,0.001850065079043206,0.8903032269170419,0.8921532919960851,0.07651745004874543,0.07586131278360042,PRESENT,0.07616108281263237,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,2,fit,joint_1_minus_joint_0,1,-0.0004366168532672342,-0.0017001277000247257,0.003992837698787239,-0.0018560931454952422,0.0018560931454952422,0.8902410613461931,0.8920971544916882,0.07649574733106353,0.07584716316886245,PRESENT,0.07616108281263237,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,2,fit,joint_1_minus_joint_0,2,-0.00046015983502079255,-0.0017079214263892462,0.004036269511784706,-0.0018681882503746106,0.0018681882503746106,0.8900110672328024,0.891879255483177,0.07450263331519906,0.07383063116298226,PRESENT,0.07616108281263237,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,2,fit,joint_1_minus_joint_0,3,-0.0004506270203764178,-0.0016375114285956992,0.003997870752006008,-0.0019097323030338967,0.0019097323030338967,0.8899001488616343,0.8918098811646682,0.07453097919028177,0.07386608272362852,PRESENT,0.07616108281263237,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,2,fit,joint_1_minus_joint_0,4,-0.0003876177205611047,-0.0018488787142588328,0.004046472442265284,-0.0018099760074453105,0.0018099760074453105,0.8909338526949249,0.8927438287023701,0.07457744177334448,0.0739920542477571,PRESENT,0.07616108281263237,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,2,fit,joint_1_minus_joint_0,5,-0.00038507462650740054,-0.0017906437030723052,0.004027277195266362,-0.001851558865686642,0.001851558865686642,0.8911743542789013,0.8930259131445879,0.07466075861604182,0.0740747583574389,PRESENT,0.07616108281263237,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,2,fit,no_x_off_1_minus_joint_0,0,-0.00011922735836731103,-0.0006324197703354629,0.0015546319201275303,-0.0008029847914247909,0.0008029847914247909,0.8903032269170419,0.8911062117084667,0.07651745004874543,0.07631470237999259,PRESENT,0.031906284782842693,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,2,fit,no_x_off_1_minus_joint_0,1,-0.00011890572551378116,-0.0006144238598500908,0.001504637620027375,-0.000771308034663511,0.000771308034663511,0.8902410613461931,0.8910123693808565,0.07649574733106353,0.07629607837453552,PRESENT,0.031906284782842693,False,0.0
