method,n,proposal,case,event,units,four_event_total_mse,count,signed_bias,pooled_residual_population_variance,mse,mae,max_absolute,mean_within_unit_prompt_repeat_sample_variance,signed_q50,signed_q90,signed_q95,signed_q99,absolute_q50,absolute_q90,absolute_q95,absolute_q99
CROSSFIT_COV_ZERO_SUM,64,origin,IDENTICAL_POLICY,X,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,64,origin,IDENTICAL_POLICY,S,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,64,origin,IDENTICAL_POLICY,W,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,64,origin,IDENTICAL_POLICY,I,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,64,origin,IDENTICAL_POLICY,delta_v,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,64,origin,IDENTITY_HASH_SELECTED,X,12,4.272765949434205e-07,172800,1.990732480248637e-07,1.5823686540858597e-08,1.582372617101668e-08,6.556455354441155e-05,0.0020244361947092475,1.583453107613711e-08,0.0,0.00011607052050734802,0.0001956494463528612,0.0003845759993498546,1.868508973910554e-05,0.00019763159426827967,0.00028756412322381177,0.0004980343098691822
CROSSFIT_COV_ZERO_SUM,64,origin,IDENTITY_HASH_SELECTED,S,12,4.272765949434205e-07,172800,4.99305869975609e-07,9.377484233997563e-08,9.377509164632744e-08,0.00017233480772295352,0.0028743471749880264,9.377813837406315e-08,0.0,0.00031681598704182346,0.0005174189012533701,0.000929246822260394,6.038945876571489e-05,0.0005227344757318691,0.0007096817580102485,0.00111213321434006
CROSSFIT_COV_ZERO_SUM,64,origin,IDENTITY_HASH_SELECTED,W,12,4.272765949434205e-07,172800,-5.804220908692623e-07,1.1384996107138446e-07,1.1385029796118805e-07,0.00020241547805323839,0.003369532011662066,1.1384044408679154e-07,0.0,0.00038179636634950423,0.0005781521936366791,0.0009950781962611208,9.053529580099215e-05,0.0005815897530988525,0.0007584094235069411,0.0011446592743653307
CROSSFIT_COV_ZERO_SUM,64,origin,IDENTITY_HASH_SELECTED,I,12,4.272765949434205e-07,172800,-1.1795702713280921e-07,2.0382746525102815e-07,2.038274791648884e-07,0.0002758823525514187,0.004371524010777165,2.0383353988454393e-07,0.0,0.0005287433743151266,0.0007311721848308238,0.001210575815630932,0.00012995644140853968,0.0007636252060371731,0.0010044383383239557,0.0015121322355377102
CROSSFIT_COV_ZERO_SUM,64,origin,IDENTITY_HASH_SELECTED,delta_v,12,4.272765949434205e-07,172800,1.1795702713280921e-07,2.0382746525102815e-07,2.038274791648884e-07,0.0002758823525514187,0.004371524010777165,2.0383353988454393e-07,-0.0,0.000523820519338137,0.0008026724701267448,0.0013693303449876927,0.00012995644140853968,0.0007636252060371731,0.0010044383383239557,0.0015121322355377102
