role,configuration_id,method,observation,n,rank,alpha,eta,fit_banks,target,population,seed_count,seed_ids,unit_count,noise_replica_count,metric_row_count,actual_rank_min,actual_rank_max,k_min,k_max,metric_scope,group_index,pX_error_ss,pX_truth_ss,pX_nrmse,pX_nrmse_status,pX_mae,pX_error_q95,pX_max_abs_error,pX_scalar_error_count,pX_worst_group_by_mae,pX_worst_group_mae,pX_worst_group_by_q95,pX_worst_group_q95,v_error_ss,v_truth_ss,v_nrmse,v_nrmse_status,v_mae,v_error_q95,v_max_abs_error,v_scalar_error_count,v_worst_group_by_mae,v_worst_group_mae,v_worst_group_by_q95,v_worst_group_q95,pX_group_nrmse_unknown_count,pX_worst_defined_group_nrmse,pX_worst_defined_group_by_nrmse,v_group_nrmse_unknown_count,v_worst_defined_group_nrmse,v_worst_defined_group_by_nrmse,group_name,pX_q95_pp,v_q95_pp,pX_rmse,v_rmse,pX_signal_rms,v_signal_rms,pX_q95_times_tolerance,v_q95_times_tolerance
fresh_locked_test,C6|O_LR_MIX|64|4|1e-05|0.01|2,C6,O_LR_MIX,64,4,1e-05,0.01,2.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,4.0,0.0,4.0,pooled,,0.0002951102205036,0.000788143599512,0.6119126744992609,DEFINED,0.0001037965128873,0.0003550415458076,0.0007231882401785,11520,1.0,0.0001104404375545,2.0,0.0003784447698762,0.0054744378217829,0.0231330023953591,0.4864674228915764,DEFINED,0.0004474431679979,0.0013257046963528,0.0033189005686774,11520,3.0,0.0004677358984952,2.0,0.0013969588689955,0.0,0.6349290554343746,4.0,0.0,0.4969536738150252,3.0,,0.035504154580760006,0.13257046963528002,0.00016005376172067152,0.0006893559432355756,0.00026156307654788443,0.0014170649683755308,2.8403323664608,10.6056375708224
fresh_locked_test,D_DIRECT|O_IND|16|0|0.0|0.0|0,D_DIRECT,O_IND,16,0,0.0,0.0,0.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,0.0,0.0,0.0,pooled,,6.039560291508884,0.000788143599512,87.53867807621482,DEFINED,0.0151652526909201,0.0475591759983222,0.130294932007242,11520,1.0,0.0157822440251121,1.0,0.0521236962470488,5.302449928695061,0.0231330023953591,15.13987490132851,DEFINED,0.0136841876162287,0.0482847781103953,0.1079123489884038,11520,4.0,0.01398166455804,2.0,0.0500558546590943,,,,,,,,4.75591759983222,4.82847781103953,0.022896885954550715,0.02145418634826058,0.00026156307654788443,0.0014170649683755308,380.47340798657757,386.27822488316235
fresh_locked_test,D_DIRECT|O_IND|256|0|0.0|0.0|0,D_DIRECT,O_IND,256,0,0.0,0.0,0.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,0.0,0.0,0.0,pooled,,0.3736372738887702,0.000788143599512,21.77320797223166,DEFINED,0.0037594855219392,0.0121921531057792,0.0292852231499954,11520,4.0,0.0038246109497673,3.0,0.0125354492257083,0.332502432603426,0.0231330023953591,3.7912411722024943,DEFINED,0.0033969930306763,0.0120740147089946,0.0278890753245999,11520,3.0,0.0034956592199693,2.0,0.0126756979009745,,,,,,,,1.21921531057792,1.20740147089946,0.005695067263534116,0.005372435051791139,0.00026156307654788443,0.0014170649683755308,97.5372248462336,96.5921176719568
fresh_locked_test,D_DIRECT|O_IND|64|0|0.0|0.0|0,D_DIRECT,O_IND,64,0,0.0,0.0,0.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,0.0,0.0,0.0,pooled,,1.485697757154962,0.000788143599512,43.41727450280011,DEFINED,0.0075646925077049,0.0245346374353347,0.0580563463566608,11520,1.0,0.007884038295764,1.0,0.0257708127288494,1.3155104653533318,0.0231330023953591,7.541038400227923,DEFINED,0.0067798328970736,0.0238679761007286,0.0605468965078317,11520,4.0,0.0068645256747444,4.0,0.0245900679156755,,,,,,,,2.45346374353347,2.3867976100728603,0.011356355894276974,0.010686141342137646,0.00026156307654788443,0.0014170649683755308,196.27709948267758,190.9438088058288
fresh_locked_test,D_DIRECT|O_LR_MIX|16|0|0.0|0.0|0,D_DIRECT,O_LR_MIX,16,0,0.0,0.0,0.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,0.0,0.0,0.0,pooled,,0.0002811827300296,0.000788143599512,0.5972988039503521,DEFINED,9.221612957873144e-05,0.0003387769431553,0.0013204352582325,11520,1.0,9.479144560510428e-05,5.0,0.0003613885906473,0.0008408355205437,0.0231330023953591,0.1906511913857154,DEFINED,0.0001628615349225,0.0005932989897869,0.0023654575496146,11520,3.0,0.000169181763209,3.0,0.0006146543611953,,,,,,,,0.03387769431553,0.05932989897869,0.00015623131277963206,0.000270165124491746,0.00026156307654788443,0.0014170649683755308,2.7102155452424,4.7463919182952
fresh_locked_test,D_DIRECT|O_LR_MIX|256|0|0.0|0.0|0,D_DIRECT,O_LR_MIX,256,0,0.0,0.0,0.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,0.0,0.0,0.0,pooled,,1.8777425630431365e-05,0.000788143599512,0.1543530973672124,DEFINED,2.354165880588778e-05,8.844010672403749e-05,0.00035000445824,11520,1.0,2.4240853594608467e-05,5.0,9.252299513001183e-05,5.460413864187527e-05,0.0231330023953591,0.0485843927523447,DEFINED,4.140462836562848e-05,0.0001530382500539,0.0005750431819206,11520,3.0,4.349730367804316e-05,3.0,0.0001674709554348,,,,,,,,0.008844010672403748,0.015303825005390001,4.0373071022065224e-05,6.884724097914572e-05,0.00026156307654788443,0.0014170649683755308,0.7075208537922999,1.2243060004312
fresh_locked_test,D_DIRECT|O_LR_MIX|64|0|0.0|0.0|0,D_DIRECT,O_LR_MIX,64,0,0.0,0.0,0.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,0.0,0.0,0.0,pooled,,7.317271233139294e-05,0.000788143599512,0.304699611347894,DEFINED,4.703540092901963e-05,0.000177381918318,0.0006112173432596,11520,1.0,4.895929308969354e-05,1.0,0.0001871170636963,0.0002190879852551,0.0231330023953591,0.0973180233717645,DEFINED,8.32257041154611e-05,0.00030404083832,0.0009864006326036,11520,1.0,8.635945398187598e-05,1.0,0.0003246389606879,,,,,,,,0.0177381918318,0.030404083832000002,7.969816776710375e-05,0.0001379059617116545,0.00026156307654788443,0.0014170649683755308,1.4190553465440001,2.43232670656
fresh_locked_test,D_DIRECT|O_LR_ORIGIN|16|0|0.0|0.0|0,D_DIRECT,O_LR_ORIGIN,16,0,0.0,0.0,0.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,0.0,0.0,0.0,pooled,,0.000289340154116,0.000788143599512,0.6059010117846878,DEFINED,9.317869840097369e-05,0.000344031114098,0.0012993170298482,11520,5.0,9.6534055912605e-05,1.0,0.0003669014432154,0.0008452178247283,0.0231330023953591,0.1911473679315657,DEFINED,0.0001611028110255,0.0005925180161963,0.0019957863513028,11520,3.0,0.0001713598411643,3.0,0.0006350571544268,,,,,,,,0.0344031114098,0.05925180161963001,0.00015848133272587482,0.00027086823889300543,0.00026156307654788443,0.0014170649683755308,2.7522489127839997,4.7401441295704005
fresh_locked_test,D_DIRECT|O_LR_ORIGIN|256|0|0.0|0.0|0,D_DIRECT,O_LR_ORIGIN,256,0,0.0,0.0,0.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,0.0,0.0,0.0,pooled,,1.8075257779792465e-05,0.000788143599512,0.1514396416663043,DEFINED,2.338773354681892e-05,8.486811506221955e-05,0.0003957062965923,11520,2.0,2.4250202544227e-05,2.0,8.924437677740925e-05,5.216512250087718e-05,0.0231330023953591,0.0474869322699181,DEFINED,4.0308522284258215e-05,0.0001467679096574,0.0004698323737371,11520,3.0,4.3212889777439925e-05,3.0,0.000159339284731,,,,,,,,0.008486811506221955,0.01467679096574,3.961101858554969e-05,6.729206817532253e-05,0.00026156307654788443,0.0014170649683755308,0.6789449204977563,1.1741432772592
fresh_locked_test,D_DIRECT|O_LR_ORIGIN|64|0|0.0|0.0|0,D_DIRECT,O_LR_ORIGIN,64,0,0.0,0.0,0.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,0.0,0.0,0.0,pooled,,7.601864957695238e-05,0.000788143599512,0.3105684958480202,DEFINED,4.735984643744082e-05,0.0001791588770051,0.0006355677503985,11520,3.0,5.1081025193405726e-05,3.0,0.0002044411925872,0.0002161684032,0.0231330023953591,0.0966674151428872,DEFINED,8.156071749067784e-05,0.0002993136776434,0.0010808281378025,11520,3.0,8.466065918434454e-05,3.0,0.0003193553673734,,,,,,,,0.01791588770051,0.02993136776434,8.123325125286105e-05,0.00013698400758239385,0.00026156307654788443,0.0014170649683755308,1.4332710160408,2.3945094211472
