observation,method,rank_cap,diagnostic,covariance_source,blocks,training_seed_count,projector_distance_mean,scope,pX_nrmse,v_nrmse
O_LR_MIX,C6,2,EXACT_U_FINITE_COEFFICIENTS,FINITE_PAID,288,6,2.0757455496660496e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.3061813129320192,0.2317884990855033
O_LR_MIX,C6,2,FINITE_U_EXACT_COEFFICIENTS,EXACT_ORACLE,288,6,0.49476343100762527,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.2998223055848686,0.19281031478435384
O_LR_MIX,C6,2,FINITE_U_EXACT_COEFFICIENTS,FINITE_PAID,288,6,0.4947240730660819,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.299448730893255,0.1927043757952836
O_LR_MIX,C6,2,FINITE_U_FINITE_COEFFICIENTS,EXACT_ORACLE,288,6,0.49476343100762527,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.3209043156103112,0.19801781035222982
O_LR_MIX,C6,2,FINITE_U_FINITE_COEFFICIENTS,FINITE_PAID,288,6,0.4947240730660819,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.31050347682244434,0.22934046756772508
O_LR_ORIGIN,C5,FULL,EXACT_U_FINITE_COEFFICIENTS,EXACT_ORACLE,288,6,4.2825365983622054e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.3370079795721515,0.20285330024319045
O_LR_ORIGIN,C5,FULL,EXACT_U_FINITE_COEFFICIENTS,FINITE_PAID,288,6,3.351877641095726e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.33701483885406514,0.20289907117273337
O_LR_ORIGIN,C5,FULL,FINITE_U_EXACT_COEFFICIENTS,EXACT_ORACLE,288,6,3.575235939182376e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.2941416229756582,0.1937239191553185
O_LR_ORIGIN,C5,FULL,FINITE_U_EXACT_COEFFICIENTS,FINITE_PAID,288,6,3.3412783852892605e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.29413913539680314,0.1937278175291426
O_LR_ORIGIN,C5,FULL,FINITE_U_FINITE_COEFFICIENTS,EXACT_ORACLE,288,6,3.575235939182376e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.33700797957215145,0.20285330024319054
O_LR_ORIGIN,C5,FULL,FINITE_U_FINITE_COEFFICIENTS,FINITE_PAID,288,6,3.3412783852892605e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.33701483885406514,0.20289907117273326
O_LR_ORIGIN,C5,1,EXACT_U_FINITE_COEFFICIENTS,EXACT_ORACLE,288,6,1.8217093147770896e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.4485696018539411,0.3426907137128709
O_LR_ORIGIN,C5,1,EXACT_U_FINITE_COEFFICIENTS,FINITE_PAID,288,6,1.6276223436804572e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.45249239050156004,0.35826884306143125
O_LR_ORIGIN,C5,1,FINITE_U_EXACT_COEFFICIENTS,EXACT_ORACLE,288,6,0.05802409380732392,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.4391355812702839,0.3399121790638431
O_LR_ORIGIN,C5,1,FINITE_U_EXACT_COEFFICIENTS,FINITE_PAID,288,6,0.057963661741987985,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.4321738142592272,0.33914591427279517
O_LR_ORIGIN,C5,1,FINITE_U_FINITE_COEFFICIENTS,EXACT_ORACLE,288,6,0.05802409380732392,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.45034443801421437,0.34150871461532034
O_LR_ORIGIN,C5,1,FINITE_U_FINITE_COEFFICIENTS,FINITE_PAID,288,6,0.057963661741987985,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.45582162528211356,0.35687800063322106
O_LR_ORIGIN,C5,2,EXACT_U_FINITE_COEFFICIENTS,EXACT_ORACLE,288,6,2.3030914950970857e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.3272166992425121,0.19460007839021576
O_LR_ORIGIN,C5,2,EXACT_U_FINITE_COEFFICIENTS,FINITE_PAID,288,6,1.7515787936219542e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.307241704052456,0.22773348856986517
O_LR_ORIGIN,C5,2,FINITE_U_EXACT_COEFFICIENTS,EXACT_ORACLE,288,6,0.5212191287027398,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.3021221070077808,0.1925542986456881
O_LR_ORIGIN,C5,2,FINITE_U_EXACT_COEFFICIENTS,FINITE_PAID,288,6,0.5211581950513282,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.299119026001928,0.1924161160667311
O_LR_ORIGIN,C5,2,FINITE_U_FINITE_COEFFICIENTS,EXACT_ORACLE,288,6,0.5212191287027398,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.32306108593598226,0.19709100812080424
O_LR_ORIGIN,C5,2,FINITE_U_FINITE_COEFFICIENTS,FINITE_PAID,288,6,0.5211581950513282,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.3102364485252919,0.22626138754468295
O_LR_ORIGIN,C6,FULL,EXACT_U_FINITE_COEFFICIENTS,EXACT_ORACLE,288,6,3.881765217358609e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.33700797957215134,0.20285330024319045
