seed,arm,anchor,method,rank_cap,alpha,n,noise,fit_budget,representation,input_mode,r,k,branch,group,pred_delta_pX,true_delta_pX,pred_delta_v,true_delta_v
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,8,1,0.0,0.0013691310654786563,-0.0,-0.0013412806921087848
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,8,2,0.0,0.0012407590881189031,-0.0,-0.0011444716036818025
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,8,3,0.0,0.0012361441546520635,-0.0,-0.0011653527441397328
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,8,4,0.0,0.0010716253234169554,-0.0,-0.0011410000683823585
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,8,5,0.0,0.0010818133805473543,-0.0,-0.0011595392598880612
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,9,0,0.0,0.0012670113893059529,-0.0,-0.0006847746585340713
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,9,1,0.0,0.001246945466656266,-0.0,-0.0006574366382827759
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,9,2,0.0,0.001182850805622333,-0.0,-0.0005891786196320706
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,9,3,0.0,0.0011557624211680055,-0.0,-0.0005505724964784293
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,9,4,0.0,0.0010368789434947914,-0.0,-0.0005909946835355567
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,9,5,0.0,0.0010250280948951081,-0.0,-0.0005548646538743272
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,10,0,0.0,0.0007357856594238411,-0.0,0.0028400384547191703
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,10,1,0.0,0.0006981624164457667,-0.0,0.0028907871814426236
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,10,2,0.0,0.0007683048053346055,-0.0,0.002918475771214892
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,10,3,0.0,0.0007378714330044667,-0.0,0.0030020097641641
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,10,4,0.0,0.0006741408131908556,-0.0,0.0028791757276320656
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,10,5,0.0,0.000650166507384979,-0.0,0.0029681034015989808
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,11,0,0.0,0.0012670113893059529,-0.0,-0.0006847746585340713
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,11,1,0.0,0.001246945466656266,-0.0,-0.0006574366382827759
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,11,2,0.0,0.001182850805622333,-0.0,-0.0005891786196320706
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,11,3,0.0,0.0011557624211680055,-0.0,-0.0005505724964784293
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,11,4,0.0,0.0010368789434947914,-0.0,-0.0005909946835355567
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,11,5,0.0,0.0010250280948951081,-0.0,-0.0005548646538743272
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,0,0,0.0,0.002553804546997862,-0.0,0.00541119035656561
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,0,1,0.0,0.002559452977113579,-0.0,0.0053061301032250935
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,0,2,0.0,0.0022280350647061534,-0.0,0.005359230968588047
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,0,3,0.0,0.00218641381252437,-0.0,0.005276469310907935
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,0,4,0.0,0.0021000720758997927,-0.0,0.005397281052116246
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,0,5,0.0,0.0021174661710414815,-0.0,0.005280765935209563
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,1,0,0.0,0.0019609040891182886,-0.0,0.007694419332504025
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,1,1,0.0,0.0019708048801300193,-0.0,0.007669957416830547
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,1,2,0.0,0.0016829397074681282,-0.0,0.00773031966814447
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,1,3,0.0,0.0016689904634078166,-0.0,0.007745046190146564
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,1,4,0.0,0.0016349886223910506,-0.0,0.007704616469379927
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,1,5,0.0,0.0016495225947732207,-0.0,0.007667554443537135
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,2,0,0.0,0.0023585462273561244,-0.0,0.006772791307847449
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,2,1,0.0,0.0023565640664601497,-0.0,0.006666910714884631
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,2,2,0.0,0.002101748037794185,-0.0,0.006766047145308023
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,2,3,0.0,0.0020551660686314497,-0.0,0.006683485219678829
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,2,4,0.0,0.0019815526030081717,-0.0,0.006786254578962418
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,2,5,0.0,0.001993227105217514,-0.0,0.006669581938784884
301,X_BASE,24,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,20,3,0,0.0,0.0024026112579506854,-0.0,0.0037371007807282856
