method,rank_cap,alpha,n,fit_budget,representation,input_mode,group,level_pX_mae,level_v_mae,projected_level_pX_mae,projected_level_v_mae,delta_pX_mae,delta_v_mae,delta_pX_q95,delta_v_q95,panel,noise_replicas,noise_indices,block_count,training_seed_count,paired_block_coverage
B3_UPDATE_PCA,0,0.0,exact,8,per_prompt,actual_d,4,0.0009525213079671415,0.002675358199704587,0.0009525213079671401,0.002675358199704587,0.0009525213079671415,0.002675358199704587,0.002108164101801905,0.006386512534114926,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,0,0.0,exact,8,per_prompt,actual_d,5,0.0009611766479887744,0.002686994295312533,0.0009611766479887722,0.0026869942953125342,0.0009611766479887744,0.002686994295312533,0.00211757882928551,0.006328369681508198,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,1,0.01,exact,8,per_prompt,actual_d,0,0.0001348379383494306,0.0005249262204173078,0.00013483793834943029,0.000524926220417308,0.0001348379383494306,0.0005249262204173077,0.00039381151863538967,0.0018780046021021097,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,1,0.01,exact,8,per_prompt,actual_d,1,0.0001371978744624636,0.0005376474865301061,0.00013719787446246276,0.0005376474865301056,0.00013719787446246358,0.0005376474865301061,0.0003876284454081603,0.0019304381830130685,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,1,0.01,exact,8,per_prompt,actual_d,2,0.00012740522195339564,0.0005393174187803973,0.00012740522195339564,0.0005393174187803971,0.00012740522195339572,0.0005393174187803972,0.0003527881007184519,0.001874519145013984,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,1,0.01,exact,8,per_prompt,actual_d,3,0.00013007288538414475,0.000554789589650599,0.00013007288538414348,0.0005547895896505993,0.00013007288538414467,0.000554789589650599,0.00036482124096226765,0.0019308788236319667,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,1,0.01,exact,8,per_prompt,actual_d,4,0.00010914287603184851,0.0005119232957391362,0.00010914287603184855,0.0005119232957391356,0.00010914287603184852,0.0005119232957391362,0.0003143451050975289,0.0018474208950757926,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,1,0.01,exact,8,per_prompt,actual_d,5,0.00011093398268457253,0.0005249161073961775,0.00011093398268457242,0.000524916107396178,0.00011093398268457261,0.0005249161073961775,0.0003206502404230511,0.001901332589997534,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,2,0.01,exact,8,per_prompt,actual_d,0,9.887380433296182e-05,0.0003917366805953748,9.8873804332962e-05,0.0003917366805953752,9.887380433296167e-05,0.0003917366805953749,0.0003203866825618912,0.0015014238773058807,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,2,0.01,exact,8,per_prompt,actual_d,1,0.00010106402235569434,0.0003973393676055838,0.00010106402235569357,0.0003973393676055836,0.00010106402235569427,0.00039733936760558375,0.0003184902032376169,0.001506470933250393,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,2,0.01,exact,8,per_prompt,actual_d,2,8.896542268357022e-05,0.00040063713834953356,8.896542268356973e-05,0.0004006371383495329,8.896542268357018e-05,0.0004006371383495335,0.0002547498969786708,0.001506473689544988,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,2,0.01,exact,8,per_prompt,actual_d,3,9.099452932769297e-05,0.00040610863258422645,9.099452932769179e-05,0.0004061086325842263,9.09945293276929e-05,0.0004061086325842265,0.0002951836614497689,0.0014796731245667971,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,2,0.01,exact,8,per_prompt,actual_d,4,7.970567786229258e-05,0.00038158040942319957,7.970567786229248e-05,0.0003815804094231987,7.970567786229266e-05,0.0003815804094231994,0.0002626593063583587,0.001476094918772101,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,2,0.01,exact,8,per_prompt,actual_d,5,8.211851881397208e-05,0.00038830973926715827,8.211851881397164e-05,0.00038830973926715773,8.211851881397219e-05,0.00038830973926715816,0.00025674787180454494,0.0014826659516714027,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,4,1e-05,exact,8,per_prompt,actual_d,0,7.960279942912328e-05,0.0003131274977664514,7.960279942912316e-05,0.0003131274977664514,7.960279942912328e-05,0.00031312749776645133,0.00026022117684458253,0.0010855824976256888,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,4,1e-05,exact,8,per_prompt,actual_d,1,8.048713446860203e-05,0.00031260674390082803,8.048713446860105e-05,0.00031260674390082803,8.048713446860199e-05,0.00031260674390082803,0.000274898233333808,0.001132507529576102,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,4,1e-05,exact,8,per_prompt,actual_d,2,6.366255586337208e-05,0.00031473047164213273,6.366255586337207e-05,0.00031473047164213143,6.366255586337212e-05,0.00031473047164213273,0.00020008158737544387,0.0010683730352735181,primary,1,[0],60,10,MATCHES_B0_EXACTLY
