method,rank_cap,n,telemetry,H,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,projected_response_nrmse,fit_budget,representation,meets_tolerance,tolerance_status,r_mean,k_mean,failure_rate,uninformative_response_step_fraction,subspace_exit_failure_rate,subspace_U_exit_failure_rate,rare_event_failure_rate,unobserved_condition_failure_rate,curvature_failure_rate,curvature_joint_failure_rate,Q_exit_gt020_fraction,U_exit_gt020_fraction,raw_level_seed_cluster_coverage,raw_level_window_coverage,raw_level_envelope_width,raw_delta_seed_cluster_coverage,raw_delta_window_coverage,raw_delta_envelope_width,projected_level_seed_cluster_coverage,projected_level_window_coverage,projected_level_envelope_width,projected_delta_seed_cluster_coverage,projected_delta_window_coverage,projected_delta_envelope_width,largest_tested_H_meeting_tolerance
B6_FULL_Q_RIDGE,FULL,256,PROJECTION_AND_NET_DISPLACEMENT,2,0.012875579105677703,0.01284214550747777,0.024253796012010893,0.024220000811417824,0.02259259259259259,0.7519675925925926,199.5103091607259,12.32714443032388,4.023012931886795,600,0.01913504480948276,0.019094538942289508,0.03397901629511706,0.03394063865431359,0.04134758638705876,0.01902995692700881,0.015333696692000047,4.018469135094483,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,15.016666666666667,15.016666666666667,1.0,0.0,0.8083333333333333,0.8083333333333333,0.0,0.0,0.0,0.0,0.8083333333333333,0.8083333333333333,1.0,1.0,0.22349602133067029,1.0,1.0,0.2358555659978254,1.0,1.0,0.18287738980150717,1.0,1.0,0.19984775984697659,
B6_FULL_Q_RIDGE,FULL,256,PROJECTION_AND_PATH,4,0.02647898312641265,0.025847382310431426,0.038777128073297404,0.03813463750844471,0.11143518518518519,0.5991319444444445,1096.334750698345,74.08288563737116,3.846915482791029,1200,0.04092755485924797,0.03985315121902003,0.05632286306324497,0.055259277176859606,0.08822993479365837,0.032305558016598034,0.025065339168417328,3.7742713594086736,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,15.016666666666667,15.016666666666667,1.0,0.0,0.8708333333333333,0.8708333333333333,0.0,0.0,0.0,0.0,0.8708333333333333,0.8708333333333333,1.0,1.0,0.22349602133067029,1.0,1.0,0.2358555659978254,1.0,1.0,0.18287738980150717,1.0,1.0,0.19984775984697659,
B6_FULL_Q_RIDGE,FULL,256,PROJECTION_AND_NET_DISPLACEMENT,4,0.02647898312641265,0.025847382310431426,0.038777128073297404,0.03813463750844471,0.11143518518518519,0.5991319444444445,1096.334750698345,74.08288563737116,3.846915482791029,1200,0.04092755485924797,0.03985315121902003,0.05632286306324497,0.055259277176859606,0.08822993479365837,0.032305558016598034,0.025065339168417328,3.7742713594086736,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,15.016666666666667,15.016666666666667,1.0,0.0,0.8708333333333333,0.8708333333333333,0.0,0.0,0.0,0.0,0.8708333333333333,0.8708333333333333,1.0,1.0,0.22349602133067029,1.0,1.0,0.2358555659978254,1.0,1.0,0.18287738980150717,1.0,1.0,0.19984775984697659,
B6_FULL_Q_RIDGE,FULL,256,PROJECTION_AND_PATH,8,0.05209986750569457,0.04741175712094492,0.06467196384715398,0.05990939639628453,0.28770254629629627,0.42890625,6358.000641181209,464.5592417285472,3.699471888944577,2400,0.08069181745815453,0.07311529189962335,0.09590879155742305,0.08826351827381891,0.17242168333684102,0.05546729301701291,0.041855009705879284,3.4045721916727327,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,15.016666666666667,15.016666666666667,1.0,0.0,0.9291666666666667,0.9291666666666667,0.0,0.0,0.014583333333333334,0.014583333333333334,0.9291666666666667,0.9291666666666667,1.0,1.0,0.22349602133067029,1.0,1.0,0.2358555659978254,1.0,1.0,0.18287738980150717,1.0,1.0,0.19984775984697659,
B6_FULL_Q_RIDGE,FULL,256,PROJECTION_AND_NET_DISPLACEMENT,8,0.05209986750569457,0.04741175712094492,0.06467196384715398,0.05990939639628453,0.28770254629629627,0.42890625,6358.000641181209,464.5592417285472,3.699471888944577,2400,0.08069181745815453,0.07311529189962335,0.09590879155742305,0.08826351827381891,0.17242168333684102,0.05546729301701291,0.041855009705879284,3.4045721916727327,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,15.016666666666667,15.016666666666667,1.0,0.0,0.9291666666666667,0.9291666666666667,0.0,0.0,0.014583333333333334,0.014583333333333334,0.9291666666666667,0.9291666666666667,1.0,1.0,0.22349602133067029,1.0,1.0,0.2358555659978254,1.0,1.0,0.18287738980150717,1.0,1.0,0.19984775984697659,
B6_FULL_Q_RIDGE,FULL,256,PROJECTION_AND_PATH,16,0.09573812106119726,0.0774023174287646,0.10802306696017219,0.0894845384851587,0.48114583333333333,0.2827835648148148,36102.22757937066,2816.3383722885087,3.5803425807167573,4800,0.14714738413513162,0.11890138247688178,0.1616032673406381,0.13305005003394765,0.3112185213319874,0.09247501109649925,0.06916295535938467,2.9477421301075837,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,15.016666666666667,15.016666666666667,1.0,0.0,0.9645833333333333,0.9645833333333333,0.0,0.0,0.24166666666666667,0.24166666666666667,0.9645833333333333,0.9645833333333333,0.8,0.9933333333333333,0.22349602133067029,0.9,0.9966666666666667,0.2358555659978254,0.7,0.9866666666666667,0.18287738980150717,0.8,0.9933333333333333,0.19984775984697659,
B6_FULL_Q_RIDGE,FULL,256,PROJECTION_AND_NET_DISPLACEMENT,16,0.09573812106119726,0.0774023174287646,0.10802306696017219,0.0894845384851587,0.48114583333333333,0.2827835648148148,36102.22757937066,2816.3383722885087,3.5803425807167573,4800,0.14714738413513162,0.11890138247688178,0.1616032673406381,0.13305005003394765,0.3112185213319874,0.09247501109649925,0.06916295535938467,2.9477421301075837,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,15.016666666666667,15.016666666666667,1.0,0.0,0.9645833333333333,0.9645833333333333,0.0,0.0,0.24166666666666667,0.24166666666666667,0.9645833333333333,0.9645833333333333,0.8,0.9933333333333333,0.22349602133067029,0.9,0.9966666666666667,0.2358555659978254,0.7,0.9866666666666667,0.18287738980150717,0.8,0.9933333333333333,0.19984775984697659,
B5_WORST_GROUP_RANK,0,256,PROJECTION_AND_PATH,1,0.016034925142246574,0.016034925142246574,0.0033642334692082962,0.0033642334692082962,0.0,0.861111111111111,2.459240536703484,2.459240536703484,1.0,300,0.021387220993887214,0.021387220993887214,0.00533511313261226,0.00533511313261226,0.042879923509596206,0.002469349720410802,0.006926911312658642,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.7833333333333333,1.0,0.0,0.0,0.0,0.0,0.7833333333333333,1.0,1.0,1.0,0.09041814875400982,1.0,1.0,0.08008920106351965,1.0,1.0,0.09041814875400982,1.0,1.0,0.08008920106351965,
B5_WORST_GROUP_RANK,0,256,PROJECTION_AND_NET_DISPLACEMENT,1,0.016034925142246574,0.016034925142246574,0.0033642334692082962,0.0033642334692082962,0.0,0.861111111111111,2.459240536703484,2.459240536703484,1.0,300,0.021387220993887214,0.021387220993887214,0.00533511313261226,0.00533511313261226,0.042879923509596206,0.002469349720410802,0.006926911312658642,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.7833333333333333,1.0,0.0,0.0,0.0,0.0,0.7833333333333333,1.0,1.0,1.0,0.09041814875400982,1.0,1.0,0.08008920106351965,1.0,1.0,0.09041814875400982,1.0,1.0,0.08008920106351965,
B5_WORST_GROUP_RANK,0,256,PROJECTION_AND_PATH,2,0.016634134238436998,0.016634134238436998,0.005034320372816898,0.005034320372816898,0.0,0.7519675925925926,12.32714443032388,12.32714443032388,1.0,600,0.022380639286738294,0.022380639286738294,0.008446161339874412,0.008446161339874412,0.044978145578467334,0.003959418605426352,0.012316011163834902,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.8083333333333333,1.0,0.0,0.0,0.0,0.0,0.8083333333333333,1.0,1.0,1.0,0.09041814875400982,1.0,1.0,0.08008920106351965,1.0,1.0,0.09041814875400982,1.0,1.0,0.08008920106351965,
B5_WORST_GROUP_RANK,0,256,PROJECTION_AND_NET_DISPLACEMENT,2,0.016634134238436998,0.016634134238436998,0.005034320372816898,0.005034320372816898,0.0,0.7519675925925926,12.32714443032388,12.32714443032388,1.0,600,0.022380639286738294,0.022380639286738294,0.008446161339874412,0.008446161339874412,0.044978145578467334,0.003959418605426352,0.012316011163834902,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.8083333333333333,1.0,0.0,0.0,0.0,0.0,0.8083333333333333,1.0,1.0,1.0,0.09041814875400982,1.0,1.0,0.08008920106351965,1.0,1.0,0.09041814875400982,1.0,1.0,0.08008920106351965,
B5_WORST_GROUP_RANK,0,256,PROJECTION_AND_PATH,4,0.01836816243282075,0.01836816243282075,0.008389477989398026,0.008389477989398026,0.0,0.5991319444444445,74.08288563737116,74.08288563737116,1.0,1200,0.025396739191635997,0.025396739191635997,0.014641045095792275,0.014641045095792275,0.0509024056872805,0.0074612232349520555,0.02006942935971212,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.8708333333333333,1.0,0.0,0.0,0.0,0.0,0.8708333333333333,1.0,1.0,1.0,0.09041814875400982,1.0,1.0,0.08008920106351965,1.0,1.0,0.09041814875400982,1.0,1.0,0.08008920106351965,
B5_WORST_GROUP_RANK,0,256,PROJECTION_AND_NET_DISPLACEMENT,4,0.01836816243282075,0.01836816243282075,0.008389477989398026,0.008389477989398026,0.0,0.5991319444444445,74.08288563737116,74.08288563737116,1.0,1200,0.025396739191635997,0.025396739191635997,0.014641045095792275,0.014641045095792275,0.0509024056872805,0.0074612232349520555,0.02006942935971212,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.8708333333333333,1.0,0.0,0.0,0.0,0.0,0.8708333333333333,1.0,1.0,1.0,0.09041814875400982,1.0,1.0,0.08008920106351965,1.0,1.0,0.09041814875400982,1.0,1.0,0.08008920106351965,
B5_WORST_GROUP_RANK,0,256,PROJECTION_AND_PATH,8,0.022678629889517018,0.022678629889517018,0.014685212990284373,0.014685212990284373,0.0,0.42890625,464.5592417285472,464.5592417285472,1.0,2400,0.033230784111641216,0.033230784111641216,0.025924995360563443,0.025924995360563443,0.06585847621329635,0.013616217544886764,0.03488298395834239,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.9291666666666667,1.0,0.0,0.0,0.014583333333333334,0.014583333333333334,0.9291666666666667,1.0,1.0,1.0,0.09041814875400982,1.0,1.0,0.08008920106351965,1.0,1.0,0.09041814875400982,1.0,1.0,0.08008920106351965,
B5_WORST_GROUP_RANK,0,256,PROJECTION_AND_NET_DISPLACEMENT,8,0.022678629889517018,0.022678629889517018,0.014685212990284373,0.014685212990284373,0.0,0.42890625,464.5592417285472,464.5592417285472,1.0,2400,0.033230784111641216,0.033230784111641216,0.025924995360563443,0.025924995360563443,0.06585847621329635,0.013616217544886764,0.03488298395834239,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.9291666666666667,1.0,0.0,0.0,0.014583333333333334,0.014583333333333334,0.9291666666666667,1.0,1.0,1.0,0.09041814875400982,1.0,1.0,0.08008920106351965,1.0,1.0,0.09041814875400982,1.0,1.0,0.08008920106351965,
