method,rank_cap,alpha,n,fit_budget,representation,input_mode,seed,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,panel,noise_replicas
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,304,0.003522172395780221,0.0035221723957802203,0.003522172395780221,0.0035221723957802203,0.0,0.865162037037037,0.5795917717255175,0.5795917717255175,1.0,72,0.005286869780674797,0.005286869780674798,0.005286869780674797,0.005286869780674798,0.009471368275882493,0.0021604330023734,0.0062036219031529624,robust,1
B5_WORST_GROUP_RANK,0,0.0,exact,8,per_prompt,actual_d,304,0.003522172395780221,0.0035221723957802203,0.003522172395780221,0.0035221723957802203,0.0,0.865162037037037,0.5795917717255175,0.5795917717255175,1.0,72,0.005286869780674797,0.005286869780674798,0.005286869780674797,0.005286869780674798,0.009471368275882493,0.0021604330023734,0.0062036219031529624,robust,1
B6_FULL_Q_RIDGE,FULL,0.01,exact,8,per_prompt,actual_d,304,0.0004833209962546211,0.0004833209962546209,0.0004833209962546211,0.0004833209962546209,0.0,0.865162037037037,0.024466343331643027,0.5795917717255175,0.2054581755284566,72,0.0010862306193939757,0.001086230619393976,0.0010862306193939754,0.001086230619393976,0.0018803902196654998,0.0002757421080032338,0.0008813619356448849,robust,1
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,8,per_prompt,actual_d,304,0.0007542126110113718,0.0007542126110113717,0.0007542126110113716,0.0007542126110113717,0.0,0.865162037037037,0.04438771055337993,0.5795917717255175,0.27673893612956396,72,0.0014630827185594846,0.0014630827185594844,0.0014630827185594846,0.0014630827185594841,0.002406790823813802,0.0013341403196129406,0.003389763315845075,robust,1
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,304,0.030344203079403373,0.030344203079403373,0.0035221723957802207,0.0035221723957802207,0.0,0.865162037037037,2.8979588586275873,2.8979588586275873,1.0,360,0.0405154704125234,0.0405154704125234,0.005286869780674797,0.005286869780674797,0.08129738869280288,0.0021604330023734,0.006240318749301976,robust,5
B5_WORST_GROUP_RANK,0,0.0,64,8,per_prompt,actual_d,304,0.030344203079403373,0.030344203079403373,0.0035221723957802207,0.0035221723957802207,0.0,0.865162037037037,2.8979588586275873,2.8979588586275873,1.0,360,0.0405154704125234,0.0405154704125234,0.005286869780674797,0.005286869780674797,0.08129738869280288,0.0021604330023734,0.006240318749301976,robust,5
B6_FULL_Q_RIDGE,FULL,0.01,64,8,per_prompt,actual_d,304,0.013061817348425295,0.013056166737141574,0.03160519618912108,0.031599945598360636,0.012962962962962964,0.865162037037037,185.5556751148262,2.8979588586275873,8.001861183343413,360,0.017912386097715498,0.01790831198923052,0.04230479807937296,0.04230326673245843,0.03588161791883324,0.024841314472446488,0.019044747050828304,robust,5
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,8,per_prompt,actual_d,304,0.021094725292875344,0.021032356982085224,0.017308218483307252,0.01725295986552254,0.043055555555555555,0.865162037037037,75.02790383782619,2.8979588586275873,5.088213181772052,360,0.030891690501751244,0.03077160278491166,0.026900720508341823,0.026844432363130923,0.059609619950936506,0.01579323494426043,0.013421884468085302,robust,5
B0_PERSISTENCE,0,0.0,16,8,per_prompt,actual_d,304,0.06085158014458436,0.06085158014458436,0.0035221723957802207,0.0035221723957802207,0.0,0.865162037037037,2.8979588586275873,2.8979588586275873,1.0,360,0.08120390225264952,0.08120390225264952,0.005286869780674797,0.005286869780674797,0.1646310894283184,0.0021604330023734,0.006240318749301976,robust,5
B6_FULL_Q_RIDGE,FULL,0.01,16,8,per_prompt,actual_d,304,0.0261059659288911,0.026021368393298463,0.06343742190036884,0.06336217367760597,0.05042438271604938,0.865162037037037,749.1662281043804,2.8979588586275873,16.078405887310726,360,0.03566500511417472,0.035572850723411924,0.08500443820704684,0.0849678293194375,0.07174122661386674,0.046106379152608346,0.047274075437865964,robust,5
