method,rank_cap,n,telemetry,H,noise,fit_budget,representation,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,projected_response_nrmse
B5_WORST_GROUP_RANK,8,exact,PROJECTION_AND_NET_DISPLACEMENT,8,0,8,per_prompt_helmert,0.0035490035553940274,0.003549003555394027,0.0035490035553940274,0.003549003555394027,0.0,0.42890625,6.8565057261846265,92.91184834570944,0.2716538544937713,480,0.007042624917430198,0.007042624917430198,0.007042624917430198,0.007042624917430198,0.013626995788450101,0.003595016399035247,0.006863691399901447,0.2716538544937713
B5_WORST_GROUP_RANK,8,exact,PROJECTION_AND_PATH,16,0,8,per_prompt_helmert,0.009423252916595777,0.009415638790148635,0.009423252916595777,0.009415638790148635,0.00953414351851852,0.2827835648148148,100.64215139447721,563.2676744577017,0.4227002862598539,960,0.019079109282257655,0.01907439714286222,0.019079109282257655,0.01907439714286222,0.03674223879540912,0.009618236853811439,0.022166791294620746,0.4225958881644355
B5_WORST_GROUP_RANK,8,exact,PROJECTION_AND_NET_DISPLACEMENT,16,0,8,per_prompt_helmert,0.009423252916595777,0.009415638790148635,0.009423252916595777,0.009415638790148635,0.00953414351851852,0.2827835648148148,100.64215139447721,563.2676744577017,0.4227002862598539,960,0.019079109282257655,0.01907439714286222,0.019079109282257655,0.01907439714286222,0.03674223879540912,0.009618236853811439,0.022166791294620746,0.4225958881644355
B5_WORST_GROUP_RANK,16,exact,PROJECTION_AND_PATH,1,0,8,per_prompt_helmert,0.00038817147551842464,0.0003881714755184247,0.0003881714755184245,0.0003881714755184247,0.0,0.861111111111111,0.007854011314068784,0.4918481073406968,0.12636600596341294,60,0.0006741769379311637,0.000674176937931164,0.0006741769379311635,0.000674176937931164,0.0010385590162213642,0.0002651378789156505,0.0007338340518361085,0.12636600596341302
B5_WORST_GROUP_RANK,16,exact,PROJECTION_AND_NET_DISPLACEMENT,1,0,8,per_prompt_helmert,0.00038817147551842464,0.0003881714755184247,0.0003881714755184245,0.0003881714755184247,0.0,0.861111111111111,0.007854011314068784,0.4918481073406968,0.12636600596341294,60,0.0006741769379311637,0.000674176937931164,0.0006741769379311635,0.000674176937931164,0.0010385590162213642,0.0002651378789156505,0.0007338340518361085,0.12636600596341302
B5_WORST_GROUP_RANK,16,exact,PROJECTION_AND_PATH,2,0,8,per_prompt_helmert,0.0006377731159155925,0.0006377731159155923,0.0006377731159155923,0.0006377731159155923,0.0,0.7519675925925926,0.045704644253222286,2.465428886064776,0.13615510406142486,120,0.0011499879761501844,0.0011499879761501844,0.0011499879761501842,0.0011499879761501844,0.002092176853658242,0.0004820947687468834,0.0011848046153043732,0.1361551040614249
B5_WORST_GROUP_RANK,16,exact,PROJECTION_AND_NET_DISPLACEMENT,2,0,8,per_prompt_helmert,0.0006377731159155925,0.0006377731159155923,0.0006377731159155923,0.0006377731159155923,0.0,0.7519675925925926,0.045704644253222286,2.465428886064776,0.13615510406142486,120,0.0011499879761501844,0.0011499879761501844,0.0011499879761501842,0.0011499879761501844,0.002092176853658242,0.0004820947687468834,0.0011848046153043732,0.1361551040614249
B5_WORST_GROUP_RANK,16,exact,PROJECTION_AND_PATH,4,0,8,per_prompt_helmert,0.0014052735514359415,0.0014052735514359412,0.0014052735514359412,0.0014052735514359412,0.0,0.5991319444444444,0.5244082091476989,14.816577127474233,0.1881311879066257,240,0.0027544372060658777,0.0027544372060658777,0.0027544372060658772,0.0027544372060658777,0.005207264667477108,0.001243113748874843,0.0025478259477689892,0.18813118790662572
B5_WORST_GROUP_RANK,16,exact,PROJECTION_AND_NET_DISPLACEMENT,4,0,8,per_prompt_helmert,0.0014052735514359415,0.0014052735514359412,0.0014052735514359412,0.0014052735514359412,0.0,0.5991319444444444,0.5244082091476989,14.816577127474233,0.1881311879066257,240,0.0027544372060658777,0.0027544372060658777,0.0027544372060658772,0.0027544372060658777,0.005207264667477108,0.001243113748874843,0.0025478259477689892,0.18813118790662572
B5_WORST_GROUP_RANK,16,exact,PROJECTION_AND_PATH,8,0,8,per_prompt_helmert,0.0035485368452182133,0.0035485368452182133,0.0035485368452182133,0.0035485368452182133,0.0,0.42890625,6.856297319352969,92.91184834570944,0.2716497259367776,480,0.007042517884609291,0.007042517884609291,0.007042517884609291,0.007042517884609291,0.013634820206556783,0.003600750955287122,0.006855963684068246,0.2716497259367776
B5_WORST_GROUP_RANK,16,exact,PROJECTION_AND_NET_DISPLACEMENT,8,0,8,per_prompt_helmert,0.0035485368452182133,0.0035485368452182133,0.0035485368452182133,0.0035485368452182133,0.0,0.42890625,6.856297319352969,92.91184834570944,0.2716497259367776,480,0.007042517884609291,0.007042517884609291,0.007042517884609291,0.007042517884609291,0.013634820206556783,0.003600750955287122,0.006855963684068246,0.2716497259367776
B5_WORST_GROUP_RANK,16,exact,PROJECTION_AND_PATH,16,0,8,per_prompt_helmert,0.009423156975909282,0.009415542563158154,0.009423156975909282,0.009415542563158153,0.009505208333333333,0.2827835648148148,100.68002956106191,563.2676744577017,0.42277982353829585,960,0.019082699297397778,0.019077955459113654,0.019082699297397778,0.019077955459113654,0.03677077330842203,0.009632527854587018,0.022142541105198824,0.4226747231496454
B5_WORST_GROUP_RANK,16,exact,PROJECTION_AND_NET_DISPLACEMENT,16,0,8,per_prompt_helmert,0.009423156975909282,0.009415542563158154,0.009423156975909282,0.009415542563158153,0.009505208333333333,0.2827835648148148,100.68002956106191,563.2676744577017,0.42277982353829585,960,0.019082699297397778,0.019077955459113654,0.019082699297397778,0.019077955459113654,0.03677077330842203,0.009632527854587018,0.022142541105198824,0.4226747231496454
B5_WORST_GROUP_RANK,FULL,exact,PROJECTION_AND_PATH,1,0,8,per_prompt_helmert,0.00038818885073933367,0.00038818885073933394,0.00038818885073933356,0.0003881888507393339,0.0,0.861111111111111,0.007854462647199157,0.4918481073406968,0.12636963674158663,60,0.0006741963085434799,0.0006741963085434802,0.0006741963085434798,0.0006741963085434802,0.0010386037914468804,0.00026513374124812947,0.0007338464646257176,0.12636963674158674
B5_WORST_GROUP_RANK,FULL,exact,PROJECTION_AND_NET_DISPLACEMENT,1,0,8,per_prompt_helmert,0.00038818885073933367,0.00038818885073933394,0.00038818885073933356,0.0003881888507393339,0.0,0.861111111111111,0.007854462647199157,0.4918481073406968,0.12636963674158663,60,0.0006741963085434799,0.0006741963085434802,0.0006741963085434798,0.0006741963085434802,0.0010386037914468804,0.00026513374124812947,0.0007338464646257176,0.12636963674158674
B5_WORST_GROUP_RANK,FULL,exact,PROJECTION_AND_PATH,2,0,8,per_prompt_helmert,0.0006378012586071033,0.0006378012586071034,0.0006378012586071033,0.0006378012586071033,0.0,0.7519675925925926,0.04570711222696831,2.465428886064776,0.1361587800848531,120,0.0011500190244371482,0.0011500190244371482,0.0011500190244371482,0.0011500190244371482,0.0020922328937025875,0.0004820947687468834,0.0011847873750741166,0.1361587800848531
B5_WORST_GROUP_RANK,FULL,exact,PROJECTION_AND_NET_DISPLACEMENT,2,0,8,per_prompt_helmert,0.0006378012586071033,0.0006378012586071034,0.0006378012586071033,0.0006378012586071033,0.0,0.7519675925925926,0.04570711222696831,2.465428886064776,0.1361587800848531,120,0.0011500190244371482,0.0011500190244371482,0.0011500190244371482,0.0011500190244371482,0.0020922328937025875,0.0004820947687468834,0.0011847873750741166,0.1361587800848531
B5_WORST_GROUP_RANK,FULL,exact,PROJECTION_AND_PATH,4,0,8,per_prompt_helmert,0.0014053223934303266,0.0014053223934303264,0.0014053223934303266,0.0014053223934303264,0.0,0.5991319444444444,0.5244296734316034,14.816577127474233,0.1881350380178926,240,0.00275449357571856,0.00275449357571856,0.00275449357571856,0.00275449357571856,0.0052075733249056545,0.0012433001529827668,0.0025479040896417273,0.1881350380178926
B5_WORST_GROUP_RANK,FULL,exact,PROJECTION_AND_NET_DISPLACEMENT,4,0,8,per_prompt_helmert,0.0014053223934303266,0.0014053223934303264,0.0014053223934303266,0.0014053223934303264,0.0,0.5991319444444444,0.5244296734316034,14.816577127474233,0.1881350380178926,240,0.00275449357571856,0.00275449357571856,0.00275449357571856,0.00275449357571856,0.0052075733249056545,0.0012433001529827668,0.0025479040896417273,0.1881350380178926
B5_WORST_GROUP_RANK,FULL,exact,PROJECTION_AND_PATH,8,0,8,per_prompt_helmert,0.003548627116706742,0.003548627116706742,0.0035486271167067423,0.003548627116706742,0.0,0.42890625,6.856517499780686,92.91184834570944,0.27165408772783434,480,0.0070426309640222,0.0070426309640222,0.0070426309640222,0.0070426309640222,0.013635027549146167,0.0036014729501679934,0.006855852684147331,0.27165408772783434
B5_WORST_GROUP_RANK,FULL,exact,PROJECTION_AND_NET_DISPLACEMENT,8,0,8,per_prompt_helmert,0.003548627116706742,0.003548627116706742,0.0035486271167067423,0.003548627116706742,0.0,0.42890625,6.856517499780686,92.91184834570944,0.27165408772783434,480,0.0070426309640222,0.0070426309640222,0.0070426309640222,0.0070426309640222,0.013635027549146167,0.0036014729501679934,0.006855852684147331,0.27165408772783434
B5_WORST_GROUP_RANK,FULL,exact,PROJECTION_AND_PATH,16,0,8,per_prompt_helmert,0.00942333772086785,0.009415723297818217,0.00942333772086785,0.009415723297818217,0.009505208333333333,0.2827835648148148,100.68342454087521,563.2676744577017,0.42278695164936636,960,0.01908302103365988,0.01907827726115528,0.01908302103365988,0.01907827726115528,0.0367705881909294,0.009633663644203639,0.02214237626534076,0.42268185271807024
B5_WORST_GROUP_RANK,FULL,exact,PROJECTION_AND_NET_DISPLACEMENT,16,0,8,per_prompt_helmert,0.00942333772086785,0.009415723297818217,0.00942333772086785,0.009415723297818217,0.009505208333333333,0.2827835648148148,100.68342454087521,563.2676744577017,0.42278695164936636,960,0.01908302103365988,0.01907827726115528,0.01908302103365988,0.01907827726115528,0.0367705881909294,0.009633663644203639,0.02214237626534076,0.42268185271807024
B5_WORST_GROUP_RANK,0,64,PROJECTION_AND_PATH,1,0,8,per_prompt_helmert,0.031307367422761,0.031307367422761,0.0033642334692082962,0.0033642334692082962,0.0,0.861111111111111,0.4918481073406968,0.4918481073406968,1.0,60,0.04151368571044104,0.04151368571044104,0.00533511313261226,0.00533511313261226,0.08312617927413979,0.0024693497204108005,0.006926911312658642,1.0
B5_WORST_GROUP_RANK,0,64,PROJECTION_AND_NET_DISPLACEMENT,1,0,8,per_prompt_helmert,0.031307367422761,0.031307367422761,0.0033642334692082962,0.0033642334692082962,0.0,0.861111111111111,0.4918481073406968,0.4918481073406968,1.0,60,0.04151368571044104,0.04151368571044104,0.00533511313261226,0.00533511313261226,0.08312617927413979,0.0024693497204108005,0.006926911312658642,1.0
B5_WORST_GROUP_RANK,0,64,PROJECTION_AND_PATH,2,0,8,per_prompt_helmert,0.03156758273302089,0.03156758273302089,0.005034320372816898,0.005034320372816898,0.0,0.7519675925925926,2.465428886064776,2.465428886064776,1.0,120,0.04196041119147702,0.04196041119147702,0.008446161339874412,0.008446161339874412,0.08472050993542904,0.003959418605426357,0.01231601116383492,1.0
B5_WORST_GROUP_RANK,0,64,PROJECTION_AND_NET_DISPLACEMENT,2,0,8,per_prompt_helmert,0.03156758273302089,0.03156758273302089,0.005034320372816898,0.005034320372816898,0.0,0.7519675925925926,2.465428886064776,2.465428886064776,1.0,120,0.04196041119147702,0.04196041119147702,0.008446161339874412,0.008446161339874412,0.08472050993542904,0.003959418605426357,0.01231601116383492,1.0
B5_WORST_GROUP_RANK,0,64,PROJECTION_AND_PATH,4,0,8,per_prompt_helmert,0.032483066228709556,0.032483066228709556,0.008389477989398026,0.008389477989398026,0.0,0.5991319444444444,14.816577127474233,14.816577127474233,1.0,240,0.04352946112505478,0.04352946112505478,0.014641045095792275,0.014641045095792275,0.08828446876883873,0.007461223234952057,0.020069429359712128,1.0
B5_WORST_GROUP_RANK,0,64,PROJECTION_AND_NET_DISPLACEMENT,4,0,8,per_prompt_helmert,0.032483066228709556,0.032483066228709556,0.008389477989398026,0.008389477989398026,0.0,0.5991319444444444,14.816577127474233,14.816577127474233,1.0,240,0.04352946112505478,0.04352946112505478,0.014641045095792275,0.014641045095792275,0.08828446876883873,0.007461223234952057,0.020069429359712128,1.0
B5_WORST_GROUP_RANK,0,64,PROJECTION_AND_PATH,8,0,8,per_prompt_helmert,0.03528882099744539,0.03528882099744539,0.014685212990284373,0.014685212990284373,0.0,0.42890625,92.91184834570944,92.91184834570944,1.0,480,0.04835288069996618,0.04835288069996618,0.025924995360563446,0.025924995360563446,0.09766983239181212,0.01361621754488682,0.03488298395834241,1.0
