method,rank_cap,n,selection_source,seed,arm,anchor,elapsed_step,group,event,truth,raw_prediction,envelope_lower,envelope_upper,envelope_label
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,8,0,v,0.8565074356984185,0.8216145833333334,0.7124565531830146,0.9307726134836521,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,8,1,pX,0.08184628431915612,0.08333333333333333,-0.025824696816985487,0.19249136348365214,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,8,1,v,0.8566646399726383,0.86328125,0.7541232198496812,0.9724392801503188,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,8,2,pX,0.07892017200963691,0.06510416666666667,-0.044053863483652145,0.1742621968169855,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,8,2,v,0.8580782875835434,0.8372395833333334,0.7280815531830146,0.9463976134836521,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,8,3,pX,0.07893554294740461,0.055989583333333336,-0.05316844681698548,0.16514761348365214,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,8,3,v,0.8578563852031211,0.84765625,0.7384982198496812,0.9568142801503188,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,8,4,pX,0.0773694554541462,0.05078125,-0.058376780150318816,0.15993928015031883,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,8,4,v,0.8573449993472104,0.8828125,0.7736544698496812,0.9919705301503188,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,8,5,pX,0.07740407305952345,0.07552083333333333,-0.03363719681698549,0.18467886348365214,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,8,5,v,0.8576719431240392,0.8606770833333334,0.7515190531830146,0.9698351134836521,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,9,0,pX,0.08374808607125968,0.07291666666666667,-0.036241363483652145,0.1820746968169855,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,9,0,v,0.8588785362491013,0.8216145833333334,0.7124565531830146,0.9307726134836521,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,9,1,pX,0.08351716033490592,0.08333333333333333,-0.025824696816985487,0.19249136348365214,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,9,1,v,0.8589205006060912,0.86328125,0.7541232198496812,0.9724392801503188,EMPIRICAL_CALIBRATED_ENVELOPE
