seed,arm,anchor,method,rank_cap,alpha,n,noise,fit_budget,representation,input_mode,r,k,threshold,eligible_prompt_branches,eligible_branches,correct,accuracy
301,X_BASE,8,B5_WORST_GROUP_RANK,16,0.01,exact,0,8,per_prompt,actual_d,16,23,0.01,0,0,0,
301,X_BASE,8,B5_WORST_GROUP_RANK,FULL,0.01,exact,0,8,per_prompt,actual_d,23,23,0.002,54,8,54,1.0
301,X_BASE,8,B5_WORST_GROUP_RANK,FULL,0.01,exact,0,8,per_prompt,actual_d,23,23,0.005,0,0,0,
301,X_BASE,8,B5_WORST_GROUP_RANK,FULL,0.01,exact,0,8,per_prompt,actual_d,23,23,0.01,0,0,0,
301,X_BASE,8,B6_FULL_Q_RIDGE,FULL,0.01,exact,0,8,per_prompt,actual_d,23,23,0.002,54,8,54,1.0
301,X_BASE,8,B6_FULL_Q_RIDGE,FULL,0.01,exact,0,8,per_prompt,actual_d,23,23,0.005,0,0,0,
301,X_BASE,8,B6_FULL_Q_RIDGE,FULL,0.01,exact,0,8,per_prompt,actual_d,23,23,0.01,0,0,0,
301,X_BASE,8,O0_FULL_J_ORACLE,FULL,0.0,exact,0,8,per_prompt,actual_d,737,23,0.002,54,8,54,1.0
301,X_BASE,8,O0_FULL_J_ORACLE,FULL,0.0,exact,0,8,per_prompt,actual_d,737,23,0.005,0,0,0,
301,X_BASE,8,O0_FULL_J_ORACLE,FULL,0.0,exact,0,8,per_prompt,actual_d,737,23,0.01,0,0,0,
301,X_BASE,8,O1_JQ_SVD_ORACLE,0,0.0,exact,0,8,per_prompt,actual_d,0,23,0.002,54,8,0,0.0
301,X_BASE,8,O1_JQ_SVD_ORACLE,0,0.0,exact,0,8,per_prompt,actual_d,0,23,0.005,0,0,0,
301,X_BASE,8,O1_JQ_SVD_ORACLE,0,0.0,exact,0,8,per_prompt,actual_d,0,23,0.01,0,0,0,
301,X_BASE,8,O1_JQ_SVD_ORACLE,1,0.0,exact,0,8,per_prompt,actual_d,1,23,0.002,54,8,54,1.0
301,X_BASE,8,O1_JQ_SVD_ORACLE,1,0.0,exact,0,8,per_prompt,actual_d,1,23,0.005,0,0,0,
301,X_BASE,8,O1_JQ_SVD_ORACLE,1,0.0,exact,0,8,per_prompt,actual_d,1,23,0.01,0,0,0,
301,X_BASE,8,O1_JQ_SVD_ORACLE,2,0.0,exact,0,8,per_prompt,actual_d,2,23,0.002,54,8,54,1.0
301,X_BASE,8,O1_JQ_SVD_ORACLE,2,0.0,exact,0,8,per_prompt,actual_d,2,23,0.005,0,0,0,
301,X_BASE,8,O1_JQ_SVD_ORACLE,2,0.0,exact,0,8,per_prompt,actual_d,2,23,0.01,0,0,0,
301,X_BASE,8,O1_JQ_SVD_ORACLE,4,0.0,exact,0,8,per_prompt,actual_d,4,23,0.002,54,8,54,1.0
301,X_BASE,8,O1_JQ_SVD_ORACLE,4,0.0,exact,0,8,per_prompt,actual_d,4,23,0.005,0,0,0,
301,X_BASE,8,O1_JQ_SVD_ORACLE,4,0.0,exact,0,8,per_prompt,actual_d,4,23,0.01,0,0,0,
301,X_BASE,8,O1_JQ_SVD_ORACLE,8,0.0,exact,0,8,per_prompt,actual_d,8,23,0.002,54,8,54,1.0
301,X_BASE,8,O1_JQ_SVD_ORACLE,8,0.0,exact,0,8,per_prompt,actual_d,8,23,0.005,0,0,0,
301,X_BASE,8,O1_JQ_SVD_ORACLE,8,0.0,exact,0,8,per_prompt,actual_d,8,23,0.01,0,0,0,
301,X_BASE,8,O1_JQ_SVD_ORACLE,16,0.0,exact,0,8,per_prompt,actual_d,16,23,0.002,54,8,54,1.0
301,X_BASE,8,O1_JQ_SVD_ORACLE,16,0.0,exact,0,8,per_prompt,actual_d,16,23,0.005,0,0,0,
301,X_BASE,8,O1_JQ_SVD_ORACLE,16,0.0,exact,0,8,per_prompt,actual_d,16,23,0.01,0,0,0,
301,X_BASE,8,O1_JQ_SVD_ORACLE,FULL,0.0,exact,0,8,per_prompt,actual_d,23,23,0.002,54,8,54,1.0
301,X_BASE,8,O1_JQ_SVD_ORACLE,FULL,0.0,exact,0,8,per_prompt,actual_d,23,23,0.005,0,0,0,
301,X_BASE,8,O1_JQ_SVD_ORACLE,FULL,0.0,exact,0,8,per_prompt,actual_d,23,23,0.01,0,0,0,
301,X_BASE,8,B4_ENERGY95,FULL,0.01,exact,0,8,per_prompt,actual_d,2,23,0.002,54,8,54,1.0
301,X_BASE,8,B4_ENERGY95,FULL,0.01,exact,0,8,per_prompt,actual_d,2,23,0.005,0,0,0,
301,X_BASE,8,B4_ENERGY95,FULL,0.01,exact,0,8,per_prompt,actual_d,2,23,0.01,0,0,0,
301,X_BASE,8,B2_FULL_PARAMETER_SKETCH,4,0.01,exact,0,8,per_prompt,actual_d,4,23,0.002,54,8,54,1.0
301,X_BASE,8,B2_FULL_PARAMETER_SKETCH,4,0.01,exact,0,8,per_prompt,actual_d,4,23,0.005,0,0,0,
301,X_BASE,8,B2_FULL_PARAMETER_SKETCH,4,0.01,exact,0,8,per_prompt,actual_d,4,23,0.01,0,0,0,
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,8,per_prompt,actual_d,1,23,0.002,54,8,54,1.0
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,8,per_prompt,actual_d,1,23,0.005,0,0,0,
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,8,per_prompt,actual_d,1,23,0.01,0,0,0,
301,X_BASE,8,B0_PERSISTENCE,0,0.0,64,0,8,per_prompt,actual_d,0,23,0.002,54,8,0,0.0
301,X_BASE,8,B0_PERSISTENCE,0,0.0,64,0,8,per_prompt,actual_d,0,23,0.005,0,0,0,
301,X_BASE,8,B0_PERSISTENCE,0,0.0,64,0,8,per_prompt,actual_d,0,23,0.01,0,0,0,
301,X_BASE,8,B1_LOG_RIDGE,0,0.01,64,0,8,per_prompt,actual_d,0,23,0.002,54,8,40,0.7407407407407407
301,X_BASE,8,B1_LOG_RIDGE,0,0.01,64,0,8,per_prompt,actual_d,0,23,0.005,0,0,0,
301,X_BASE,8,B1_LOG_RIDGE,0,0.01,64,0,8,per_prompt,actual_d,0,23,0.01,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,0,0.0,64,0,8,per_prompt,actual_d,0,23,0.002,54,8,0,0.0
301,X_BASE,8,B2_RANDOM_Q,0,0.0,64,0,8,per_prompt,actual_d,0,23,0.005,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,0,0.0,64,0,8,per_prompt,actual_d,0,23,0.01,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,1,0.01,64,0,8,per_prompt,actual_d,1,23,0.002,54,8,31,0.5740740740740741
