seed,arm,anchor,n,noise,r,k,full_J_rmse,direction_omission_rmse,fit_sampling_rmse,total_rmse,triangle_bound_mean,total_norm_mean,max_triangle_violation
305,X_VALID,24,256,0,0,10,4.389557956842606e-05,0.0009992764412932568,0.0,0.0009697204644910074,0.013939750463649049,0.012845335617596236,-0.0010221389532215188
305,X_VALID,40,exact,0,0,9,1.0905175747924719e-05,0.0008340152635181402,0.0,0.0008291069487874287,0.011873863138008062,0.011678110144602369,-0.00013311133940798262
305,X_VALID,40,16,0,0,9,1.0905175747924719e-05,0.0008340152635181402,0.0,0.0008291069487874287,0.011873863138008062,0.011678110144602369,-0.00013311133940798262
305,X_VALID,40,64,0,0,9,1.0905175747924719e-05,0.0008340152635181402,0.0,0.0008291069487874287,0.011873863138008062,0.011678110144602369,-0.00013311133940798262
305,X_VALID,40,256,0,0,9,1.0905175747924719e-05,0.0008340152635181402,0.0,0.0008291069487874287,0.011873863138008062,0.011678110144602369,-0.00013311133940798262
306,X_BASE,8,exact,0,0,22,7.200421118058352e-05,0.0031021923488090326,0.0,0.0031552766663365123,0.04622682003487295,0.04607991331272754,-1.4844913586803399e-05
306,X_BASE,8,16,0,0,22,7.200421118058352e-05,0.0031021923488090326,0.0,0.0031552766663365123,0.04622682003487295,0.04607991331272754,-1.4844913586803399e-05
306,X_BASE,8,64,0,0,22,7.200421118058352e-05,0.0031021923488090326,0.0,0.0031552766663365123,0.04622682003487295,0.04607991331272754,-1.4844913586803399e-05
306,X_BASE,8,256,0,0,22,7.200421118058352e-05,0.0031021923488090326,0.0,0.0031552766663365123,0.04622682003487295,0.04607991331272754,-1.4844913586803399e-05
306,X_BASE,24,exact,0,0,16,0.0002049312754073205,0.011767409818876088,0.0,0.011939836327639172,0.17456201301606045,0.17411118697863948,-0.00033874674615652633
306,X_BASE,24,16,0,0,16,0.0002049312754073205,0.011767409818876088,0.0,0.011939836327639172,0.17456201301606045,0.17411118697863948,-0.00033874674615652633
