method,rank_cap,alpha,n,fit_budget,representation,input_mode,group,level_pX_mae,level_v_mae,projected_level_pX_mae,projected_level_v_mae,delta_pX_mae,delta_v_mae,delta_pX_q95,delta_v_q95,panel,noise_replicas,noise_indices,block_count,training_seed_count,paired_block_coverage
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,8,per_prompt,actual_d,5,0.004975434275754443,0.004019668705533241,0.004952755107649749,0.004006229569468437,0.004898138615040323,0.0046584019970968655,0.015083533931859044,0.01383979907145563,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,16,8,per_prompt,actual_d,0,0.01588281324989771,0.012291817149137161,0.01588281324989771,0.012291817149137161,0.001031012981254595,0.002653818220769817,0.002415107563894735,0.006337517768275261,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,16,8,per_prompt,actual_d,1,0.015592732450369027,0.0118726824756426,0.015592732450369027,0.0118726824756426,0.0010380733302923564,0.0026824931933317696,0.0024270577129933196,0.0063065111954534805,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,16,8,per_prompt,actual_d,2,0.01371975585825075,0.012818138592382174,0.01371975585825075,0.012818138592382174,0.0010056442340555798,0.0027069065980697363,0.0023260998003693883,0.006374979293392444,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,16,8,per_prompt,actual_d,3,0.01451707939183962,0.011466106147390567,0.01451707939183962,0.011466106147390567,0.0010158040448788616,0.002758363693844634,0.002371451284482701,0.006394995810945838,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,16,8,per_prompt,actual_d,4,0.015271796215755393,0.01127661988839767,0.015271796215755393,0.01127661988839767,0.0009525213079671415,0.002675358199704587,0.002108164101801902,0.006386512534114926,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,16,8,per_prompt,actual_d,5,0.014214996140965755,0.011852444819822085,0.014214996140965755,0.011852444819822085,0.0009611766479887744,0.0026869942953125334,0.002117578829285509,0.0063283696815081975,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,16,8,per_prompt,actual_d,0,0.006342977488917637,0.004826293471834735,0.006323312139002493,0.004784935625483793,0.01721200878286115,0.012494678380257154,0.04118723657075831,0.036860707985747816,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,16,8,per_prompt,actual_d,1,0.006183265186939864,0.005040088303752062,0.006165126854221363,0.005007615408333354,0.016569395913272295,0.012371655645896993,0.04492831811749221,0.03497168991515549,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,16,8,per_prompt,actual_d,2,0.006111759351022097,0.005067519370137476,0.0060839765042446006,0.005014045000988801,0.014670168686091176,0.013375758756936165,0.03869700416164799,0.03875681075950255,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,16,8,per_prompt,actual_d,3,0.006385481829923233,0.005104431548468231,0.006344920452572573,0.005020468181785344,0.01622570054690998,0.0117447084370163,0.04152996045337425,0.0340052145995274,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,16,8,per_prompt,actual_d,4,0.006276185277322822,0.004665686454309674,0.006217385459513578,0.004596883800910631,0.016246565338033224,0.012323670384115136,0.04014915549032527,0.035417119387276964,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,16,8,per_prompt,actual_d,5,0.005967588967756369,0.00465678072323267,0.005941037962589586,0.004603357651505831,0.01578498080807386,0.012495725218334124,0.04140545922356494,0.035450472849236817,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,16,8,per_prompt,actual_d,0,0.01588281324989771,0.012291817149137161,0.01588281324989771,0.012291817149137161,0.001031012981254595,0.002653818220769817,0.002415107563894735,0.006337517768275261,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
