seed,arm,anchor,method,rank_cap,alpha,n,noise,r,k,selection_source,metric_space,full_J_rmse,low_J_rmse,direction_omission_rmse,fit_sampling_rmse,total_rmse,triangle_bound_mean,total_residual_norm_mean,frozen_model_reproduction_max_abs,source_frozen_record,vector_file
302,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,18,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,4.90902956278168e-05,0.0025643302920861488,0.0025283932952105993,0.059558653373605386,0.05967056417580468,0.7914994246943268,0.7561695583802605,0.0,1614,exact_rule_vectors/001614.npz
302,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,0,1,18,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,4.90902956278168e-05,0.002594585749476968,0.0025573543839248793,0.015361022253679307,0.015432643481836534,0.24545410338696474,0.20966491326794678,0.0,1642,exact_rule_vectors/001642.npz
302,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,1,21,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,8.571651728368009e-05,0.004928929713331039,0.004909442339121454,0.004435093767439185,0.0017628897821298966,0.13613883859002804,0.02152562468478729,0.0,1700,exact_rule_vectors/001700.npz
302,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,21,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,8.571651728368009e-05,0.006124697871554335,0.00609285130034541,0.05467787535576473,0.05480596916380124,0.873304817932658,0.7848490613920727,0.0,1742,exact_rule_vectors/001742.npz
302,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,21,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,8.571651728368009e-05,0.006464202637369101,0.00643245068495318,0.10677072977337948,0.1066654175255973,1.6335534299524819,1.5366942187988721,0.0,1851,exact_rule_vectors/001851.npz
302,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,0,1,21,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,8.571651728368009e-05,0.006667620115481325,0.006636827957785386,0.019260537369708477,0.01919964761956398,0.3559314098033122,0.26116524833370974,0.0,1879,exact_rule_vectors/001879.npz
302,X_BASE,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,1,15,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00013084135005507068,0.002715654011546338,0.002696860889273282,0.0028486272373925516,0.0017312120331855123,0.08235875241339531,0.0237867117502939,0.0,1937,exact_rule_vectors/001937.npz
302,X_BASE,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,15,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00013084135005507068,0.009125868279869994,0.009168541662962736,0.02213151898015818,0.023158149549067912,0.4064439685326086,0.30766725100543324,0.0,1979,exact_rule_vectors/001979.npz
302,X_BASE,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,15,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00013084135005507068,0.008929907290555998,0.008972178775839544,0.04857944658334565,0.04999836047437992,0.7196922079973147,0.6232831949652274,0.0,2088,exact_rule_vectors/002088.npz
302,X_BASE,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,0,1,15,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00013084135005507068,0.01010066500832661,0.010142844878288794,0.013670173993647412,0.016547612180860503,0.3235976113704039,0.23133312383927818,0.0,2116,exact_rule_vectors/002116.npz
