seed,arm,anchor,method,rank_cap,alpha,n,noise,r,k,fit_budget,representation,elapsed_step,direction_omission_norm,fit_residual_norm,finite_step_nonlinearity_norm,total_residual_norm,triangle_upper_bound,triangle_bound_holds,vectors_file,jacobian_fixed_at_anchor
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,exact,0,1,23,8,per_prompt_helmert,1,0.04103010639042814,0.03877930327980276,0.0019520482115566995,0.003803832996699517,0.0817614578817876,True,oracle_decomposition/005525.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,exact,0,1,23,8,per_prompt_helmert,2,0.08271127364918406,0.07387261254115866,0.007303098437521393,0.014710338789856166,0.1638869846278641,True,oracle_decomposition/005525.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,exact,0,1,23,8,per_prompt_helmert,3,0.11933443928869915,0.11130980561721016,0.01662847395461585,0.021223784802469614,0.24727271886052515,True,oracle_decomposition/005525.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,exact,0,1,23,8,per_prompt_helmert,4,0.1516514897013885,0.14758007857111288,0.03044359387155756,0.032495390885168694,0.32967516214405895,True,oracle_decomposition/005525.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,exact,0,1,23,8,per_prompt_helmert,5,0.18674958409506914,0.1835332020133285,0.049370031022606314,0.05233771304956691,0.419652817131004,True,oracle_decomposition/005525.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,exact,0,1,23,8,per_prompt_helmert,6,0.2226559949467176,0.22011335218669945,0.07413694354559586,0.07761827166217626,0.516906290679013,True,oracle_decomposition/005525.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,exact,0,1,23,8,per_prompt_helmert,7,0.26029019384168456,0.2544181588625409,0.10267350843462246,0.10704602626632789,0.6173818611388479,True,oracle_decomposition/005525.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,exact,0,1,23,8,per_prompt_helmert,8,0.2944175774278689,0.2855069544009547,0.13253712029520898,0.13783674695167777,0.7124616521240326,True,oracle_decomposition/005525.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,exact,0,1,23,8,per_prompt_helmert,9,0.3316587455152051,0.318974602074848,0.16781051403962474,0.1697865498416429,0.8184438616296779,True,oracle_decomposition/005525.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,exact,0,1,23,8,per_prompt_helmert,10,0.374206548706069,0.3586584938947758,0.21522908317784573,0.21034911660328168,0.9480941257786906,True,oracle_decomposition/005525.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,exact,0,1,23,8,per_prompt_helmert,11,0.4163771034483772,0.40203806505943873,0.2781485808769918,0.26528641418348636,1.0965637493848077,True,oracle_decomposition/005525.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,exact,0,1,23,8,per_prompt_helmert,12,0.4626036865805778,0.43726486277156956,0.3402898332635029,0.3275197066595914,1.2401583826156504,True,oracle_decomposition/005525.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,exact,0,1,23,8,per_prompt_helmert,13,0.5145443119228931,0.48011673637700114,0.410238782289815,0.39011362207243544,1.4048998305897091,True,oracle_decomposition/005525.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,exact,0,1,23,8,per_prompt_helmert,14,0.5656701735642878,0.5231802411342958,0.4923205709255694,0.46642500592610114,1.5811709856241531,True,oracle_decomposition/005525.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,exact,0,1,23,8,per_prompt_helmert,15,0.6137544017511819,0.5689081935372109,0.5840691269687341,0.5493958761806504,1.766731722257127,True,oracle_decomposition/005525.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,exact,0,1,23,8,per_prompt_helmert,16,0.6575683641253013,0.614654558999133,0.6811754290354892,0.6350514133110144,1.9533983521599234,True,oracle_decomposition/005525.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,exact,0,2,23,8,per_prompt_helmert,1,0.0018975840880599212,0.002542077352567841,0.0019520482115566995,0.002369704907191879,0.006391709652184462,True,oracle_decomposition/005526.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,exact,0,2,23,8,per_prompt_helmert,2,0.007354711550213566,0.004526220618036916,0.007303098437521393,0.009140021560145232,0.019184030605771875,True,oracle_decomposition/005526.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,exact,0,2,23,8,per_prompt_helmert,3,0.009960228531332143,0.008128949601858096,0.01662847395461585,0.02079591623298958,0.03471765208780609,True,oracle_decomposition/005526.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,exact,0,2,23,8,per_prompt_helmert,4,0.01110366221822625,0.012371988932807042,0.03044359387155756,0.04168099029069197,0.05391924502259085,True,oracle_decomposition/005526.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,exact,0,2,23,8,per_prompt_helmert,5,0.018902275163131997,0.01696928143957361,0.049370031022606314,0.06979081984072306,0.08524158762531192,True,oracle_decomposition/005526.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,exact,0,2,23,8,per_prompt_helmert,6,0.029717404859747547,0.022235264759241907,0.07413694354559586,0.10508967802051986,0.1260896131645853,True,oracle_decomposition/005526.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,exact,0,2,23,8,per_prompt_helmert,7,0.04284481199430334,0.027003637206698988,0.10267350843462246,0.14320553210219744,0.17252195763562478,True,oracle_decomposition/005526.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,exact,0,2,23,8,per_prompt_helmert,8,0.05492469861369188,0.03132626161757875,0.13253712029520898,0.18197910574002063,0.2187880805264796,True,oracle_decomposition/005526.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,exact,0,2,23,8,per_prompt_helmert,9,0.07376675781840668,0.03704077987635717,0.16781051403962474,0.22639700191932202,0.2786180517343886,True,oracle_decomposition/005526.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,exact,0,2,23,8,per_prompt_helmert,10,0.10296104609174651,0.045495039860575875,0.21522908317784573,0.2882348187366196,0.36368516913016813,True,oracle_decomposition/005526.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,exact,0,2,23,8,per_prompt_helmert,11,0.1361328234720127,0.056230277295002205,0.2781485808769918,0.37207755498078093,0.4705116816440067,True,oracle_decomposition/005526.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,exact,0,2,23,8,per_prompt_helmert,12,0.17315767009370361,0.06437076695847485,0.3402898332635029,0.4561529961790986,0.5778182703156813,True,oracle_decomposition/005526.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,exact,0,2,23,8,per_prompt_helmert,13,0.21814908603521535,0.07491734472530504,0.410238782289815,0.5477912481406507,0.7033052130503353,True,oracle_decomposition/005526.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,exact,0,2,23,8,per_prompt_helmert,14,0.2633669156240126,0.08601271124132487,0.4923205709255694,0.654945111493325,0.8417001977909069,True,oracle_decomposition/005526.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,exact,0,2,23,8,per_prompt_helmert,15,0.3049196963287919,0.09795295161545768,0.5840691269687341,0.7709377261148871,0.9869417749129837,True,oracle_decomposition/005526.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,exact,0,2,23,8,per_prompt_helmert,16,0.3442264948450842,0.11046430800440173,0.6811754290354892,0.8913649943773944,1.1358662318849753,True,oracle_decomposition/005526.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,exact,0,4,23,8,per_prompt_helmert,1,0.0022028486948894605,0.0027692885034542054,0.0019520482115566995,0.0024039327510015835,0.006924185409900366,True,oracle_decomposition/005527.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,exact,0,4,23,8,per_prompt_helmert,2,0.0077781583356805765,0.004928065664005024,0.007303098437521393,0.009170070388219301,0.020009322437206996,True,oracle_decomposition/005527.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,exact,0,4,23,8,per_prompt_helmert,3,0.010129383792256592,0.008304783985536643,0.01662847395461585,0.02081599704410071,0.03506264173240908,True,oracle_decomposition/005527.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,exact,0,4,23,8,per_prompt_helmert,4,0.010961994765841287,0.012341336561951773,0.03044359387155756,0.04169305675470199,0.05374692519935062,True,oracle_decomposition/005527.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,exact,0,4,23,8,per_prompt_helmert,5,0.01860941786642116,0.016039662271978762,0.049370031022606314,0.06979803535195246,0.08401911116100624,True,oracle_decomposition/005527.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,exact,0,4,23,8,per_prompt_helmert,6,0.02929018160779279,0.020211882726666106,0.07413694354559586,0.10508546426994995,0.12363900788005475,True,oracle_decomposition/005527.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,exact,0,4,23,8,per_prompt_helmert,7,0.04193615264260238,0.023749777945253615,0.10267350843462246,0.14317960570048208,0.16835943902247846,True,oracle_decomposition/005527.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,exact,0,4,23,8,per_prompt_helmert,8,0.05354536625627093,0.026965975716671118,0.13253712029520898,0.1819289786106066,0.21304846226815102,True,oracle_decomposition/005527.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,exact,0,4,23,8,per_prompt_helmert,9,0.07162228907525875,0.03239265342261069,0.16781051403962474,0.2263107670386893,0.2718254565374942,True,oracle_decomposition/005527.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,exact,0,4,23,8,per_prompt_helmert,10,0.09986059952122271,0.04001999017767046,0.21522908317784573,0.28810212920337913,0.3551096728767389,True,oracle_decomposition/005527.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,exact,0,4,23,8,per_prompt_helmert,11,0.13201349395026293,0.04902123136839799,0.2781485808769918,0.3719173889214557,0.45918330619565273,True,oracle_decomposition/005527.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,exact,0,4,23,8,per_prompt_helmert,12,0.16794002045798814,0.055626708058358475,0.3402898332635029,0.4559559044328406,0.5638565617798496,True,oracle_decomposition/005527.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,exact,0,4,23,8,per_prompt_helmert,13,0.21047645153403383,0.0632217855152813,0.410238782289815,0.5474747435346595,0.6839370193391301,True,oracle_decomposition/005527.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,exact,0,4,23,8,per_prompt_helmert,14,0.25329880449594644,0.07123066827919068,0.4923205709255694,0.6544973990031993,0.8168500437007066,True,oracle_decomposition/005527.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,exact,0,4,23,8,per_prompt_helmert,15,0.2926630108311609,0.08020842412644356,0.5840691269687341,0.7703644752792232,0.9569405619263386,True,oracle_decomposition/005527.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,exact,0,4,23,8,per_prompt_helmert,16,0.3303176523514825,0.0904203653872489,0.6811754290354892,0.8906997246784546,1.1019134467742207,True,oracle_decomposition/005527.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,exact,0,8,23,8,per_prompt_helmert,1,0.0028092585710141568,0.0034193436845699043,0.0019520482115566995,0.0024285122760363933,0.008180650467140761,True,oracle_decomposition/005528.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,exact,0,8,23,8,per_prompt_helmert,2,0.009057037782704338,0.006134014114327775,0.007303098437521393,0.009176219149431796,0.022494150334553507,True,oracle_decomposition/005528.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,exact,0,8,23,8,per_prompt_helmert,3,0.012002331409616781,0.010074566885073473,0.01662847395461585,0.020847774252970484,0.038705372249306105,True,oracle_decomposition/005528.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,exact,0,8,23,8,per_prompt_helmert,4,0.01287566478441218,0.014355755486259758,0.03044359387155756,0.04177092261363949,0.057675014142229496,True,oracle_decomposition/005528.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,exact,0,8,23,8,per_prompt_helmert,5,0.020456954019693274,0.018730698079645232,0.049370031022606314,0.06988968303148729,0.08855768312194481,True,oracle_decomposition/005528.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,exact,0,8,23,8,per_prompt_helmert,6,0.031184584306846792,0.023441299784388633,0.07413694354559586,0.10519826032148795,0.12876282763683128,True,oracle_decomposition/005528.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,exact,0,8,23,8,per_prompt_helmert,7,0.044079511886903865,0.027443054611833696,0.10267350843462246,0.14329940937929803,0.17419607493336003,True,oracle_decomposition/005528.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,exact,0,8,23,8,per_prompt_helmert,8,0.05586932138266511,0.031076650279793276,0.13253712029520898,0.18205691305662094,0.21948309195766735,True,oracle_decomposition/005528.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,exact,0,8,23,8,per_prompt_helmert,9,0.07387642010362257,0.03619252997351804,0.16781051403962474,0.22643681123149828,0.27787946411676534,True,oracle_decomposition/005528.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,exact,0,8,23,8,per_prompt_helmert,10,0.10171945668985018,0.043025047114196045,0.21522908317784573,0.2882326067529008,0.35997358698189197,True,oracle_decomposition/005528.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,exact,0,8,23,8,per_prompt_helmert,11,0.1327600101417879,0.05073567008383467,0.2781485808769918,0.3720594132781125,0.46164426110261436,True,oracle_decomposition/005528.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,exact,0,8,23,8,per_prompt_helmert,12,0.16765772430824702,0.05618758095848693,0.3402898332635029,0.45608819538754514,0.5641351385302369,True,oracle_decomposition/005528.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,exact,0,8,23,8,per_prompt_helmert,13,0.20968704270480298,0.06330682829872088,0.410238782289815,0.5475884258300273,0.6832326532933388,True,oracle_decomposition/005528.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,exact,0,8,23,8,per_prompt_helmert,14,0.25200134077739983,0.07078316588285392,0.4923205709255694,0.6546025420789338,0.8151050775858232,True,oracle_decomposition/005528.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,exact,0,8,23,8,per_prompt_helmert,15,0.2909980009005882,0.07957544628933436,0.5840691269687341,0.7704786120111637,0.9546425741586567,True,oracle_decomposition/005528.npz,True
