method,rank_cap,n,H,fit_budget_required,calibration_panels_required,cost_label,calibration_exact_compute_seconds,calibration_branch_seconds,calibration_counts_seconds,calibration_M2_output_io_seconds,frozen_fit_replay_seconds,refresh_full_panel_seconds,tracking_read_predict_output_seconds,dense_read_output_seconds,model_full_accounted_cpu_seconds,dense_full_accounted_cpu_seconds,model_minus_dense_seconds,all_included_cost_components,largest_tested_qualified_H,cpu_cost_evidence_status,real_Qwen_seconds
B0_PERSISTENCE,0,16,1,0,0,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0,0.0,0.0,0.0,0.0,0.001068184995741254,0.00021829740338337916,4.86744562901246e-05,0.0012864823991246331,0.0011168594520313787,0.00016962294709325443,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B0_PERSISTENCE,0,16,2,0,0,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0,0.0,0.0,0.0,0.0,0.001068184995741254,0.00023342849453911185,9.73489125802492e-05,0.0013016134902803659,0.0022337189040627574,-0.0009321054137823915,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B0_PERSISTENCE,0,16,4,0,0,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0,0.0,0.0,0.0,0.0,0.001068184995741254,0.0002636906768505772,0.0001946978251604984,0.0013318756725918311,0.004467437808125515,-0.003135562135533684,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B0_PERSISTENCE,0,16,8,0,0,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0,0.0,0.0,0.0,0.0,0.001068184995741254,0.0003242150414735079,0.0003893956503209968,0.0013924000372147619,0.00893487561625103,-0.007542475579036268,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B0_PERSISTENCE,0,16,16,0,0,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0,0.0,0.0,0.0,0.0,0.001068184995741254,0.0004452637707193693,0.0007787913006419936,0.0015134487664606234,0.01786975123250206,-0.016356302466041434,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B6_FULL_Q_RIDGE,FULL,16,1,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.000598430361909171,0.001068184995741254,0.01645809794960466,4.86744562901246e-05,0.05090353498090333,0.0011168594520313787,0.049786675528871956,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B6_FULL_Q_RIDGE,FULL,16,2,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.000598430361909171,0.001068184995741254,0.01651291826177233,9.73489125802492e-05,0.050958355293070995,0.0022337189040627574,0.04872463638900824,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B6_FULL_Q_RIDGE,FULL,16,4,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.000598430361909171,0.001068184995741254,0.01662255888610768,0.0001946978251604984,0.05106799591740635,0.004467437808125515,0.046600558109280835,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B6_FULL_Q_RIDGE,FULL,16,8,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.000598430361909171,0.001068184995741254,0.01684184013477837,0.0003893956503209968,0.05128727716607703,0.00893487561625103,0.042352401549826,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B6_FULL_Q_RIDGE,FULL,16,16,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.000598430361909171,0.001068184995741254,0.017280402632119756,0.0007787913006419936,0.05172583966341843,0.01786975123250206,0.033856088430916365,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
