seed,arm,anchor,method,rank_cap,alpha,n,noise,r,k,selection_source,branch,group,pred_delta_pX,true_delta_pX,pred_delta_v,true_delta_v,source_frozen_record
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,5,3,0.006585905916974659,0.001119859745308125,0.006737680357317911,0.0008363808478125378,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,5,4,0.009566556788513708,0.0010049118082738479,-0.01847904376719642,0.0006674689465665495,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,5,5,-0.001962209804630695,0.0010047844174505677,0.000646599972669095,0.0007377882709714567,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,6,0,-0.00010962669763668651,0.0013402413857795774,0.0010639230017646208,-0.001272544718531286,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,6,1,-0.000706303771028887,0.0013691310654786563,-0.0002622976904519855,-0.0013412806921087848,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,6,2,-0.00010515535459824025,0.0012407590881189031,3.65114990253169e-05,-0.0011444716036818025,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,6,3,0.000313785588593869,0.0012361441546520635,0.00032101688413574165,-0.0011653527441397328,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,6,4,0.0004557987451602396,0.0010716253234169554,-0.0008804343241825731,-0.0011410000683823585,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,6,5,-9.348951628715975e-05,0.0010818133805473543,3.0807265631567644e-05,-0.0011595392598880612,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,7,0,-0.0009017178775395959,0.0011725401862637795,0.008751138287464934,0.0003820147653794473,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,7,1,-0.00580959520846906,0.001203682962057251,-0.0021574901170675355,0.0002630827434609272,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,7,2,-0.0008649395193358185,0.001108162624298684,0.0003003198319081729,0.0005149862840275488,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,7,3,0.002580996062538405,0.0010943046604762082,0.0026404759940555334,0.0005121573568338464,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,7,4,0.0037491038764407747,0.0009631582812321838,-0.007241879826992425,0.00048177715994839054,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,7,5,-0.000768983924682683,0.0009715193702892576,0.00025340051991860083,0.0004185549825317196,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,8,0,-0.00010962669763668651,0.0013402413857795774,0.0010639230017646208,-0.001272544718531286,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,8,1,-0.000706303771028887,0.0013691310654786563,-0.0002622976904519855,-0.0013412806921087848,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,8,2,-0.00010515535459824025,0.0012407590881189031,3.65114990253169e-05,-0.0011444716036818025,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,8,3,0.000313785588593869,0.0012361441546520635,0.00032101688413574165,-0.0011653527441397328,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,8,4,0.0004557987451602396,0.0010716253234169554,-0.0008804343241825731,-0.0011410000683823585,83
