method,rank_cap,alpha,n,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max
B4_RESPONSE_SVD,4,0.01,64,0.013662665061711805,0.013652332547286499,0.032293190862421384,0.03228460081916098,0.01777906378600823,0.8789544753086419,473.51285144732026,5.0773861099944435,9.657079128751825,864,0.019356279045263672,0.019342461104380263,0.04362272286988058,0.043615261567144833,0.03859064519558636,0.02098100793929614,0.021817259471729942
B4_RESPONSE_SVD,8,0.0,exact,0.00021801102421778703,0.0002180110242177869,0.00021801102421778693,0.0002180110242177869,0.0,0.878954475308642,0.016028193237858677,1.6924620366648147,0.09731567893702073,288,0.00043959201706495886,0.0004395920170649588,0.0004395920170649588,0.0004395920170649588,0.0007629932707047311,0.00017855350654113263,0.000546336394246413
B4_RESPONSE_SVD,8,1e-08,exact,0.0002180126981695665,0.00021801269816956663,0.0002180126981695664,0.00021801269816956663,0.0,0.878954475308642,0.01602852896303629,1.6924620366648147,0.09731669811466695,288,0.0004395966208694243,0.00043959662086942445,0.0004395966208694243,0.00043959662086942445,0.0007629998331033302,0.00017855321259377814,0.0005463645596433568
B4_RESPONSE_SVD,8,1e-05,exact,0.00021965062991831727,0.00021965062991831735,0.00021965062991831727,0.00021965062991831735,0.0,0.878954475308642,0.016353100630123216,1.6924620366648147,0.09829707315143846,288,0.0004440251471316048,0.0004440251471316049,0.00044402514713160477,0.00044402514713160493,0.0007706313214555963,0.0001774103795598136,0.0005495774025713648
B4_RESPONSE_SVD,8,0.01,exact,0.00035904783751703585,0.00035904783751703595,0.00035904783751703585,0.00035904783751703595,0.0,0.878954475308642,0.040869659540647266,1.6924620366648147,0.1553964316789572,288,0.000701952980163231,0.0007019529801632311,0.000701952980163231,0.0007019529801632312,0.0012414472292247812,0.00021685933794283037,0.0009051939193661658
B4_RESPONSE_SVD,8,0.0,64,0.04265846355016805,0.04111217389679757,0.046526514386597696,0.04501284198394787,0.16470550411522633,0.8789544753086419,1251.8514738435981,5.0773861099944435,15.702048237132287,864,0.0669888912080544,0.06312409252293731,0.0709289102435314,0.06765848122744768,0.1264431754048607,0.04642407928232639,0.02979001873441996
B4_RESPONSE_SVD,8,1e-08,64,0.04265866793939663,0.04111231689427589,0.04652696192234793,0.045013224721970994,0.16557355967078188,0.8789544753086419,1251.8906208247274,5.0773861099944435,15.702293746680915,864,0.06698949198188739,0.06312451817307262,0.07093001925329087,0.0676593813692992,0.12644364710893707,0.046424494863555654,0.029789899982178583
B4_RESPONSE_SVD,8,1e-05,64,0.04259713773971644,0.04103661196754957,0.04669947750068253,0.045171406485384015,0.16443222736625515,0.8789544753086419,1268.6564107118647,5.0773861099944435,15.80708955823275,864,0.06699496609646308,0.06307574604424573,0.07140340034340117,0.06805376473786451,0.12622377588782646,0.04483354835375422,0.029603904441709544
B4_RESPONSE_SVD,8,0.01,64,0.012800688857037825,0.012798342724817561,0.033244138314437566,0.033242235897046626,0.005642361111111111,0.8789544753086419,488.18914849825853,5.0773861099944435,9.805595313699424,864,0.017659820889450704,0.01765755325064291,0.04429359656691514,0.04429282067795968,0.03552161996072031,0.02206850855346198,0.021028667860638173
B4_RESPONSE_SVD,16,0.0,exact,0.0002149195280836939,0.00021491952808369368,0.00021491952808369398,0.00021491952808369368,0.0,0.878954475308642,0.015500211566096773,1.6924620366648147,0.09569942867750082,288,0.0004322911307183308,0.000432291130718331,0.0004322911307183309,0.000432291130718331,0.0007541289357168002,0.00016988219309653857,0.000540282832622116
B4_RESPONSE_SVD,16,1e-08,exact,0.00021492139861747025,0.0002149213986174705,0.00021492139861747017,0.0002149213986174705,0.0,0.878954475308642,0.015500566887140795,1.6924620366648147,0.09570052556014315,288,0.00043229608552991413,0.00043229608552991424,0.00043229608552991413,0.0004322960855299142,0.0007541364676534029,0.00016988238652192175,0.0005402929038599328
B4_RESPONSE_SVD,16,1e-05,exact,0.00021675386010561892,0.00021675386010561916,0.0002167538601056189,0.00021675386010561916,0.0,0.878954475308642,0.01584311346123523,1.6924620366648147,0.09675218869881896,288,0.00043704663267147556,0.00043704663267147577,0.00043704663267147556,0.0004370466326714758,0.0007629239909335395,0.0001700624918703108,0.0005440150767037222
B4_RESPONSE_SVD,16,0.01,exact,0.0003590178704413203,0.0003590178704413206,0.00035901787044132036,0.0003590178704413206,0.0,0.878954475308642,0.04083790834058143,1.6924620366648147,0.1553360570402023,288,0.0007016802573140483,0.0007016802573140485,0.0007016802573140485,0.0007016802573140485,0.0012398108289070693,0.0002170903516353891,0.0009062946309050885
B4_RESPONSE_SVD,16,0.0,64,0.038427033024476004,0.03743562685211598,0.048578625018632325,0.04760975609281252,0.1332465277777778,0.8789544753086419,1208.5184819043031,5.0773861099944435,15.427890683013338,864,0.058398536817577874,0.056114106366518764,0.06969049241070983,0.06784233774511422,0.11145740666440221,0.039859243626124856,0.03166654449617461
B4_RESPONSE_SVD,16,1e-08,64,0.03842652844868458,0.03743515474454955,0.048578322427163985,0.04760948266982554,0.1347093621399177,0.8789544753086419,1208.5052847127586,5.0773861099944435,15.427806445416905,864,0.05839779331036124,0.05611339967408516,0.06969011189468885,0.06784196517290571,0.11145557942866693,0.03985692791563814,0.031667632300061005
B4_RESPONSE_SVD,16,1e-05,64,0.03785371561028775,0.03690885766641588,0.048187365897749974,0.047263573380818553,0.12966177983539093,0.8789544753086419,1187.6175684109915,5.0773861099944435,15.293898775863301,864,0.05743099568590855,0.05522382732421028,0.06908522742794601,0.06728608898291254,0.10954932454797725,0.0393561164269109,0.03190002580440396
B4_RESPONSE_SVD,16,0.01,64,0.012957204079787423,0.012955072791236978,0.033186870401882854,0.033185104868050694,0.0057066615226337445,0.8789544753086419,485.83295999470573,5.0773861099944435,9.781903906907184,864,0.01775155646611293,0.017749706042459613,0.044186578320598975,0.04418587961796659,0.03564170449602811,0.021789418661238277,0.020217040889007085
