method,rank_cap,alpha,n,fit_budget,representation,input_mode,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,panel,noise_replicas,noise_indices,block_count,training_seed_count,paired_block_coverage
B3_UPDATE_PCA,8,0.01,exact,8,per_prompt,actual_d,0.000431008310677608,0.00043100831067760797,0.000431008310677608,0.00043100831067760786,0.0,0.8600887345679012,0.17996002454878007,5.548249977175462,0.18009846523007397,720,0.000931591526747768,0.0009315915267477682,0.000931591526747768,0.0009315915267477681,0.0015475774675074248,0.00028602614746338535,0.0010390746964593289,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,16,0.01,exact,8,per_prompt,actual_d,0.0004150263624855268,0.0004150263624855268,0.0004150263624855268,0.0004150263624855268,0.0,0.8600887345679012,0.16463972183421294,5.548249977175462,0.17226192727271467,720,0.0008910556323924944,0.0008910556323924946,0.0008910556323924944,0.0008910556323924946,0.0014917460993446874,0.00028249106474084534,0.0009676829014614385,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,FULL,0.01,exact,8,per_prompt,actual_d,0.00041433002355505756,0.0004143300235550574,0.00041433002355505756,0.00041433002355505745,0.0,0.8600887345679012,0.16440016975019983,5.548249977175462,0.1721365604273842,720,0.0008904071499598663,0.0008904071499598665,0.0008904071499598664,0.0008904071499598665,0.0014893736197639682,0.00028249106474084534,0.0009561818947618603,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B4_RESPONSE_SVD,0,0.0,exact,8,per_prompt,actual_d,0.00337903322729464,0.00337903322729464,0.00337903322729464,0.00337903322729464,0.0,0.8600887345679012,5.548249977175462,5.548249977175462,1.0,720,0.00517267887628953,0.00517267887628953,0.00517267887628953,0.00517267887628953,0.008688955179877562,0.002427057712993322,0.006394995810945838,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B4_RESPONSE_SVD,1,0.01,exact,8,per_prompt,actual_d,0.0006444397158737508,0.0006444397158737507,0.0006444397158737508,0.0006444397158737507,0.0,0.8600887345679012,0.3022380153125264,5.548249977175462,0.2333976797596856,720,0.0012072912478679138,0.0012072912478679138,0.0012072912478679138,0.001207291247867914,0.0020182650411563023,0.0008394571678411029,0.0028185744459315377,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B4_RESPONSE_SVD,2,0.01,exact,8,per_prompt,actual_d,0.0004235007346184825,0.00042350073461848236,0.0004235007346184826,0.00042350073461848236,0.0,0.8600887345679012,0.172280555465012,5.548249977175462,0.17621388314676273,720,0.000911497831062211,0.0009114978310622111,0.0009114978310622111,0.0009114978310622111,0.0014616869872139625,0.0003364233591086434,0.0009682942378759896,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B4_RESPONSE_SVD,4,0.01,exact,8,per_prompt,actual_d,0.00041427196047066905,0.00041427196047066905,0.000414271960470669,0.00041427196047066905,0.0,0.8600887345679012,0.16335362049904315,5.548249977175462,0.17158778664403884,720,0.0008875685194028943,0.0008875685194028946,0.0008875685194028943,0.0008875685194028946,0.0014758999599233885,0.0002883975702728967,0.0009655883436262525,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B4_RESPONSE_SVD,8,0.01,exact,8,per_prompt,actual_d,0.0004141333551477758,0.0004141333551477758,0.0004141333551477758,0.0004141333551477758,0.0,0.8600887345679012,0.16456256616084328,5.548249977175462,0.17222155869591724,720,0.0008908468187080284,0.0008908468187080286,0.0008908468187080284,0.0008908468187080286,0.0014873481110483876,0.0002815584251804949,0.0009499026498013998,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B4_RESPONSE_SVD,16,0.01,exact,8,per_prompt,actual_d,0.0004143063841291248,0.00041430638412912475,0.0004143063841291249,0.00041430638412912475,0.0,0.8600887345679012,0.16439243462548261,5.548249977175462,0.17213251081652423,720,0.0008903862026233137,0.0008903862026233139,0.0008903862026233137,0.0008903862026233139,0.0014892678170960773,0.0002824910647408485,0.0009553893354692299,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B4_RESPONSE_SVD,FULL,0.01,exact,8,per_prompt,actual_d,0.0004143300235550587,0.00041433002355505865,0.0004143300235550587,0.00041433002355505865,0.0,0.8600887345679012,0.1644001697502004,5.548249977175462,0.17213656042738448,720,0.0008904071499598678,0.0008904071499598679,0.0008904071499598678,0.0008904071499598679,0.0014893736197639726,0.0002824910647408485,0.000956181894761841,primary,1,[0],60,10,MATCHES_B0_EXACTLY
