seed,arm,anchor,n,noise,r,k,fixed_checkpoint_prediction_noise_rmse,anchor_measurement_rmse,scope
308,X_VALID,8,64,0,0,18,0.0,0.03632886339297897,fixed path and checkpoint; n changes measurement only
308,X_VALID,8,256,0,0,18,0.0,0.018361885658638423,fixed path and checkpoint; n changes measurement only
308,X_VALID,24,16,0,0,11,0.0,0.06495575532622119,fixed path and checkpoint; n changes measurement only
308,X_VALID,24,64,0,0,11,0.0,0.033379508017323783,fixed path and checkpoint; n changes measurement only
308,X_VALID,24,256,0,0,11,0.0,0.016758279519884768,fixed path and checkpoint; n changes measurement only
308,X_VALID,40,16,0,0,13,0.0,0.06783345875542775,fixed path and checkpoint; n changes measurement only
308,X_VALID,40,64,0,0,13,0.0,0.03673510484670889,fixed path and checkpoint; n changes measurement only
308,X_VALID,40,256,0,0,13,0.0,0.018856186164655796,fixed path and checkpoint; n changes measurement only
309,X_BASE,8,16,0,0,20,0.0,0.09030629055985145,fixed path and checkpoint; n changes measurement only
309,X_BASE,8,64,0,0,20,0.0,0.046643276723594494,fixed path and checkpoint; n changes measurement only
309,X_BASE,8,256,0,0,20,0.0,0.021334110844665438,fixed path and checkpoint; n changes measurement only
309,X_BASE,24,16,0,0,18,0.0,0.09262683689239995,fixed path and checkpoint; n changes measurement only
309,X_BASE,24,64,0,0,18,0.0,0.05274668686194767,fixed path and checkpoint; n changes measurement only
309,X_BASE,24,256,0,0,18,0.0,0.02120299916628491,fixed path and checkpoint; n changes measurement only
309,X_BASE,40,16,0,0,13,0.0,0.09917984234499758,fixed path and checkpoint; n changes measurement only
309,X_BASE,40,64,0,0,13,0.0,0.04953750918942163,fixed path and checkpoint; n changes measurement only
309,X_BASE,40,256,0,0,13,0.0,0.023875559897912152,fixed path and checkpoint; n changes measurement only
309,X_VALID,8,16,0,0,19,0.0,0.09016075589924828,fixed path and checkpoint; n changes measurement only
309,X_VALID,8,64,0,0,19,0.0,0.03804195785791801,fixed path and checkpoint; n changes measurement only
309,X_VALID,8,256,0,0,19,0.0,0.018377687184495364,fixed path and checkpoint; n changes measurement only
309,X_VALID,24,16,0,0,12,0.0,0.06497443329586831,fixed path and checkpoint; n changes measurement only
309,X_VALID,24,64,0,0,12,0.0,0.03300249978113336,fixed path and checkpoint; n changes measurement only
309,X_VALID,24,256,0,0,12,0.0,0.019721906545875946,fixed path and checkpoint; n changes measurement only
309,X_VALID,40,16,0,0,10,0.0,0.06486172423710863,fixed path and checkpoint; n changes measurement only
309,X_VALID,40,64,0,0,10,0.0,0.03592176199788092,fixed path and checkpoint; n changes measurement only
309,X_VALID,40,256,0,0,10,0.0,0.01895320567286573,fixed path and checkpoint; n changes measurement only
310,X_BASE,8,16,0,0,20,0.0,0.08423832090625541,fixed path and checkpoint; n changes measurement only
310,X_BASE,8,64,0,0,20,0.0,0.04148590610801754,fixed path and checkpoint; n changes measurement only
310,X_BASE,8,256,0,0,20,0.0,0.021719932453587727,fixed path and checkpoint; n changes measurement only
310,X_BASE,24,16,0,0,21,0.0,0.10766679075180258,fixed path and checkpoint; n changes measurement only
310,X_BASE,24,64,0,0,21,0.0,0.04691363873531381,fixed path and checkpoint; n changes measurement only
310,X_BASE,24,256,0,0,21,0.0,0.02599484318509402,fixed path and checkpoint; n changes measurement only
310,X_BASE,40,16,0,0,11,0.0,0.10313980165821308,fixed path and checkpoint; n changes measurement only
310,X_BASE,40,64,0,0,11,0.0,0.04816756979289959,fixed path and checkpoint; n changes measurement only
310,X_BASE,40,256,0,0,11,0.0,0.021226632297323415,fixed path and checkpoint; n changes measurement only
310,X_VALID,8,16,0,0,20,0.0,0.07556749054121968,fixed path and checkpoint; n changes measurement only
310,X_VALID,8,64,0,0,20,0.0,0.037261002632573974,fixed path and checkpoint; n changes measurement only
310,X_VALID,8,256,0,0,20,0.0,0.017914473540233854,fixed path and checkpoint; n changes measurement only
310,X_VALID,24,16,0,0,9,0.0,0.05313815121502839,fixed path and checkpoint; n changes measurement only
310,X_VALID,24,64,0,0,9,0.0,0.031979171576480135,fixed path and checkpoint; n changes measurement only
310,X_VALID,24,256,0,0,9,0.0,0.01458483808826891,fixed path and checkpoint; n changes measurement only
310,X_VALID,40,16,0,0,8,0.0,0.06173459598626901,fixed path and checkpoint; n changes measurement only
310,X_VALID,40,64,0,0,8,0.0,0.03164978845303533,fixed path and checkpoint; n changes measurement only
310,X_VALID,40,256,0,0,8,0.0,0.015235803598762759,fixed path and checkpoint; n changes measurement only
