method,rank_cap,n,telemetry,H,seed,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,projected_response_nrmse
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_PATH,2,307,0.0047921225319488905,0.0047921225319488905,0.0047921225319488905,0.0047921225319488905,0.0,0.7592592592592592,0.1734646425824858,0.1734646425824858,1.0,12,0.007084653524489526,0.007084653524489525,0.007084653524489526,0.007084653524489525,0.013459421009300391,0.003348471598219695,0.00943870761220368,0.9999999999999999
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_NET_DISPLACEMENT,2,307,0.0047921225319488905,0.0047921225319488905,0.0047921225319488905,0.0047921225319488905,0.0,0.7592592592592592,0.1734646425824858,0.1734646425824858,1.0,12,0.007084653524489526,0.007084653524489525,0.007084653524489526,0.007084653524489525,0.013459421009300391,0.003348471598219695,0.00943870761220368,0.9999999999999999
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_PATH,4,307,0.007778473506751795,0.007778473506751795,0.007778473506751795,0.007778473506751795,0.0,0.6082175925925927,0.9678831120872178,0.9678831120872178,1.0,24,0.011833401262075287,0.011833401262075287,0.011833401262075287,0.011833401262075287,0.023412459389397147,0.006837795838313601,0.01812979147667143,1.0
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_NET_DISPLACEMENT,4,307,0.007778473506751795,0.007778473506751795,0.007778473506751795,0.007778473506751795,0.0,0.6082175925925927,0.9678831120872178,0.9678831120872178,1.0,24,0.011833401262075287,0.011833401262075287,0.011833401262075287,0.011833401262075287,0.023412459389397147,0.006837795838313601,0.01812979147667143,1.0
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_PATH,8,307,0.013720195464071204,0.013720195464071208,0.013720195464071204,0.013720195464071208,0.0,0.40596064814814814,6.635093030358031,6.635093030358031,1.0,48,0.02190819741297428,0.021908197412974277,0.02190819741297428,0.021908197412974277,0.04251836969007055,0.012818216217558766,0.03467689969626359,0.9999999999999999
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_NET_DISPLACEMENT,8,307,0.013720195464071204,0.013720195464071208,0.013720195464071204,0.013720195464071208,0.0,0.40596064814814814,6.635093030358031,6.635093030358031,1.0,48,0.02190819741297428,0.021908197412974277,0.02190819741297428,0.021908197412974277,0.04251836969007055,0.012818216217558766,0.03467689969626359,0.9999999999999999
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_PATH,16,307,0.025202327877930752,0.02520232787793075,0.025202327877930752,0.02520232787793075,0.0,0.2686631944444445,52.24177772614437,52.24177772614437,1.0,96,0.043468746141757844,0.043468746141757844,0.043468746141757844,0.043468746141757844,0.0817155184439453,0.024225127066238347,0.05540721082839455,1.0
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_NET_DISPLACEMENT,16,307,0.025202327877930752,0.02520232787793075,0.025202327877930752,0.02520232787793075,0.0,0.2686631944444445,52.24177772614437,52.24177772614437,1.0,96,0.043468746141757844,0.043468746141757844,0.043468746141757844,0.043468746141757844,0.0817155184439453,0.024225127066238347,0.05540721082839455,1.0
NORM_ONLY_LOCAL_RIDGE,1,exact,NORM_ONLY,1,307,0.0005626751748727287,0.0005626751748727282,0.0005626751748727289,0.0005626751748727281,0.0,0.8796296296296297,0.0015046718154187579,0.03495306502175737,0.20748096565650653,6,0.0009331447649970555,0.0009331447649970532,0.0009331447649970559,0.0009331447649970533,0.0014689604818180792,0.0003063296327755078,0.0013363465876035402,0.20748096565650592
NORM_ONLY_LOCAL_RIDGE,1,exact,NORM_ONLY,2,307,0.0008921024939762136,0.0008921024939762132,0.0008921024939762136,0.000892102493976213,0.0,0.7592592592592592,0.008086619705116828,0.1734646425824858,0.21591261983209056,12,0.0015296661030751873,0.0015296661030751858,0.0015296661030751875,0.0015296661030751858,0.002869016253413469,0.0006195223751595178,0.0021172214440400884,0.2159126198320903
NORM_ONLY_LOCAL_RIDGE,1,exact,NORM_ONLY,4,307,0.0020895353518532137,0.0020895353518532137,0.0020895353518532137,0.0020895353518532137,0.0,0.6082175925925927,0.11397288881703918,0.9678831120872178,0.34315420257736623,24,0.004060681373865444,0.004060681373865444,0.004060681373865444,0.004060681373865444,0.007687419277866977,0.001533472339872893,0.003505893065780941,0.34315420257736623
NORM_ONLY_LOCAL_RIDGE,1,exact,NORM_ONLY,8,307,0.005826123420446759,0.005826123420446759,0.005826123420446759,0.005826123420446757,0.0,0.40596064814814814,1.8151958150832015,6.635093030358031,0.523044009683948,48,0.011458951419829565,0.011458951419829565,0.011458951419829565,0.011458951419829565,0.023118026902361758,0.004335316112154558,0.008465886877826258,0.523044009683948
NORM_ONLY_LOCAL_RIDGE,1,exact,NORM_ONLY,16,307,0.018067588589199202,0.01768459296892685,0.018067588589199202,0.01768459296892685,0.1529224537037037,0.2686631944444445,35.41276490070612,52.24177772614437,0.8233243208654087,96,0.035788875896033634,0.035601092252295186,0.035788875896033634,0.035601092252295186,0.07281724142842592,0.014923213372994105,0.04854768060935993,0.8190043516828136
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,PROJECTION_AND_PATH,1,307,0.0005225579363239494,0.0005225579363239495,0.0005225579363239501,0.0005225579363239496,0.0,0.8796296296296297,0.0011215045557605716,0.03495306502175737,0.17912569506668213,6,0.0008056170555165894,0.00080561705551659,0.0008056170555165895,0.00080561705551659,0.0012793987323555464,0.0005442819980052701,0.0012227865737938813,0.17912569506668227
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,PROJECTION_AND_NET_DISPLACEMENT,1,307,0.0005225579363239494,0.0005225579363239495,0.0005225579363239501,0.0005225579363239496,0.0,0.8796296296296297,0.0011215045557605716,0.03495306502175737,0.17912569506668213,6,0.0008056170555165894,0.00080561705551659,0.0008056170555165895,0.00080561705551659,0.0012793987323555464,0.0005442819980052701,0.0012227865737938813,0.17912569506668227
