seed,arm,anchor,n,abs_cosine_to_exact_basis,angle_deg
304,X_BASE,8,256,0.06682188912110162,86.16853280317966
304,X_BASE,24,64,0.2703142307859874,74.31703373644679
304,X_BASE,24,16,0.0772545799581151,85.56922379965955
304,X_BASE,24,256,0.12830977528460746,82.62806840247342
304,X_BASE,40,64,0.5360360113978402,57.58580153489642
304,X_BASE,40,16,0.3110127404433168,71.8797264745257
304,X_BASE,40,256,0.4714719530752332,61.87011331448095
304,X_VALID,8,64,0.08317800017242824,85.22873909360689
304,X_VALID,8,16,0.11744705624966903,83.2552122711671
304,X_VALID,8,256,0.011489599388131544,89.34167996198605
304,X_VALID,24,64,0.00954150904362756,89.45330350615615
304,X_VALID,24,16,0.09742213106370179,84.40925546746247
304,X_VALID,24,256,0.11414731835661514,83.44555386744278
304,X_VALID,40,64,0.0004440332270727737,89.97455876928915
304,X_VALID,40,16,0.1119909592983138,83.56990159252548
304,X_VALID,40,256,0.07879595372124283,85.48063951977733
305,X_BASE,8,64,0.0702823345315126,85.96979626476217
305,X_BASE,8,16,0.03411268331375607,88.04510794995329
305,X_BASE,8,256,0.042455382888849744,87.56675439808286
305,X_BASE,24,64,0.17467025409699147,79.94053048892333
305,X_BASE,24,16,0.11610386127917348,83.33270183726015
305,X_BASE,24,256,0.0085820073218204,89.50828116466502
305,X_BASE,40,64,0.49240949157133046,60.5009261315039
305,X_BASE,40,16,0.26531587949660407,74.61427675171043
305,X_BASE,40,256,0.014822160974349324,89.15072163372913
305,X_VALID,8,64,0.04859529923725791,87.2145974256463
305,X_VALID,8,16,0.06481996113361185,86.28348412474399
305,X_VALID,8,256,0.1025835376122867,84.11203841039536
305,X_VALID,24,64,0.2735015679285162,74.12726271717491
305,X_VALID,24,16,0.06851463024953836,86.07132305215445
305,X_VALID,24,256,0.6695955113337551,47.96414615277069
305,X_VALID,40,64,0.6331239254701646,50.71902199935613
305,X_VALID,40,16,0.4499715479558809,63.25814148838294
305,X_VALID,40,256,0.6228350904623855,51.4765353285604
306,X_BASE,8,64,0.1545070933142456,81.11178959073828
306,X_BASE,8,16,0.13019760683221027,82.51898859563993
306,X_BASE,8,256,0.22306150737879954,77.11108603758191
306,X_BASE,24,64,0.07536136370497828,85.67801431819528
306,X_BASE,24,16,0.3847072214875218,67.37443457985172
306,X_BASE,24,256,0.00048822887359792864,89.97202654499509
306,X_BASE,40,64,0.11774241023550817,83.23817149974087
306,X_BASE,40,16,0.12559107080284715,82.78510935456082
306,X_BASE,40,256,0.2908453588941635,73.09142680052422
306,X_VALID,8,64,0.23444977555145902,76.44080884488426
306,X_VALID,8,16,0.22899955528405105,76.76182145080779
306,X_VALID,8,256,0.0706624734864958,85.94796162004337
306,X_VALID,24,64,0.23825643460318072,76.21634345718167
306,X_VALID,24,16,0.18009960037365308,79.6244387025662
306,X_VALID,24,256,0.011195701812277158,89.35852013607949
306,X_VALID,40,64,0.05521252440283719,86.83494591381802
306,X_VALID,40,16,0.1279194890020912,82.65061596561928
306,X_VALID,40,256,0.06960106451594923,86.00892598766492
307,X_BASE,8,64,0.0496014655066373,87.15687873067012
307,X_BASE,8,16,0.1395411268681398,81.97870588465506
307,X_BASE,8,256,0.023377315934915523,88.66045643184012
307,X_BASE,24,64,0.14328168345350056,81.76221207937465
307,X_BASE,24,16,0.03784370116292152,87.83119775852296
307,X_BASE,24,256,0.053339440741278644,86.94242414404384
307,X_BASE,40,64,0.17775711743885575,79.76085458834882
307,X_BASE,40,16,0.009984915702045773,89.42789696490395
307,X_BASE,40,256,0.12957215908491013,82.55513026567378
307,X_VALID,8,64,0.19804201436691204,78.57751533539046
307,X_VALID,8,16,0.11602417498959927,83.3372985914229
307,X_VALID,8,256,0.10620209347525209,83.90357127881273
307,X_VALID,24,64,0.7588628480011452,40.63594861962619
307,X_VALID,24,16,0.685945283948347,46.6900062079848
307,X_VALID,24,256,0.8464166437104459,32.175963296329414
307,X_VALID,40,64,0.22971325168136025,76.71980973129241
307,X_VALID,40,16,0.15264387349797115,81.21982588274881
307,X_VALID,40,256,0.19795636594181681,78.58252174464342
308,X_BASE,8,64,0.055859793885570004,86.79780277972603
308,X_BASE,8,16,0.019209583499927373,88.8993042378961
308,X_BASE,8,256,0.017029996405611703,89.02420591019899
308,X_BASE,24,64,0.12052727946660571,83.07746565815913
308,X_BASE,24,16,0.08283065300458144,85.24870953471438
308,X_BASE,24,256,0.08579019341220057,85.0785343942418
308,X_BASE,40,64,0.15327324242570586,81.18333631154435
308,X_BASE,40,16,0.2437262626069485,75.89342769535526
308,X_BASE,40,256,0.06078623419573743,86.51505695251937
308,X_VALID,8,64,0.022296811219254295,88.72238094470649
308,X_VALID,8,16,0.1828156806241446,79.4661916152881
308,X_VALID,8,256,0.007745839981199633,89.55619162227954
308,X_VALID,24,64,0.05572118189359632,86.80575705065674
308,X_VALID,24,16,0.29440085560469054,72.87838646277847
308,X_VALID,24,256,0.189349880011335,79.0851536208425
308,X_VALID,40,64,0.09189520480442917,84.7273537625373
308,X_VALID,40,16,0.079723445766204,85.42733042778418
308,X_VALID,40,256,0.06516166004555911,86.26386474105317
309,X_BASE,8,64,0.2044019522122094,78.20550785281192
309,X_BASE,8,16,0.11327426529670445,83.49590269260064
309,X_BASE,8,256,0.062034220277686083,86.44341740071106
309,X_BASE,24,64,0.03055747140829562,88.2489132680638
309,X_BASE,24,16,0.08492227446793152,85.12844463587994
309,X_BASE,24,256,0.23563212520754723,76.37111268966036
309,X_BASE,40,64,0.24484561047362363,75.827290025702
309,X_BASE,40,16,0.43898840044516674,63.960645091839275
309,X_BASE,40,256,0.16682837600510364,80.39653495151877
309,X_VALID,8,64,0.07374002349453306,85.77116950973867
309,X_VALID,8,16,0.03591935795749403,87.94152958444883
309,X_VALID,8,256,0.09693418751632431,84.43734552383526
309,X_VALID,24,64,0.02040364344684195,88.83087621484191
309,X_VALID,24,16,0.005434958779908405,89.68859826699979
309,X_VALID,24,256,0.2217742687771137,77.18673426305176
309,X_VALID,40,64,0.1272200067523898,82.69102349282223
309,X_VALID,40,16,0.1853391915696691,79.31909135788709
309,X_VALID,40,256,0.1262855514288544,82.74499919076005
310,X_BASE,8,64,0.0416125081745595,87.61509028337979
310,X_BASE,8,16,0.11740352244144728,83.25772395115143
310,X_BASE,8,256,0.008093235363775073,89.53628670871684
310,X_BASE,24,64,0.16907958171771661,80.26569168499553
310,X_BASE,24,16,0.10452773559182138,84.00004192240776
310,X_BASE,24,256,0.2853761374822657,73.41866656270481
310,X_BASE,40,64,0.14052847152856007,81.92157223854042
310,X_BASE,40,16,0.11361272316096624,83.47638448456512
310,X_BASE,40,256,0.010113485807107095,89.42053006851961
310,X_VALID,8,64,0.1331079231116695,82.35077554853237
310,X_VALID,8,16,0.1791026953819131,79.6825012796892
310,X_VALID,8,256,0.1043326645736936,84.01128011646169
310,X_VALID,24,64,0.4074650643782992,65.95430672746761
