method,rank_cap,n,operation,metric,rows,signal_rms,mae,nrmse,q95_error,eligible_0.0002,signacc_0.0002,eligible_0.001,signacc_0.001,eligible_0.002,signacc_0.002,eligible_0.005,signacc_0.005
B3_UPDATE_PCA,1,64,2,pX,4320,8.143935976970202e-05,0.00012852954568689267,4.490085771514345,0.0006852241757515267,186,0.553763440860215,0,,0,,0,
B3_UPDATE_PCA,1,64,2,v,4320,0.00045736331473844035,0.0002816293343359472,1.2486530610131648,0.0011924388422365959,1665,0.5165165165165165,180,0.5277777777777778,18,0.5,0,
B4_RESPONSE_SVD,1,exact,1,pX,1440,0.0002693775595920124,0.0001466474059230198,0.965206691154718,0.0006278335418564899,504,0.8134920634920635,2,1.0,0,,0,
B4_RESPONSE_SVD,1,exact,1,v,1440,0.00128962732326676,0.0007605084112941347,1.016925659783012,0.003225742105181095,912,0.6019736842105263,534,0.5823970037453183,207,0.4782608695652174,0,
B4_RESPONSE_SVD,1,exact,2,pX,1440,8.143935976970202e-05,3.9932283632421914e-05,1.0642747344211874,0.00023300181552717028,62,0.967741935483871,0,,0,,0,
B4_RESPONSE_SVD,1,exact,2,v,1440,0.00045736331473844035,0.00023802748890525808,1.0796950543878996,0.001244665673240635,555,0.518918918918919,60,0.36666666666666664,6,0.0,0,
B4_RESPONSE_SVD,1,64,1,pX,4320,0.0002693775595920124,0.001425068119525148,12.298147371451707,0.006792919284221317,1512,0.4914021164021164,6,0.8333333333333334,0,,0,
B4_RESPONSE_SVD,1,64,1,v,4320,0.0012896273232667602,0.001588010593343258,2.4072301577083652,0.0064600466341223125,2736,0.49378654970760233,1602,0.4868913857677903,621,0.4927536231884058,0,
B4_RESPONSE_SVD,1,64,2,pX,4320,8.143935976970202e-05,0.0004184031576942067,14.39908539852711,0.0023243266480965155,186,0.46236559139784944,0,,0,,0,
B4_RESPONSE_SVD,1,64,2,v,4320,0.00045736331473844035,0.0004929873945894301,2.6939332990384233,0.002527538846163867,1665,0.4852852852852853,180,0.5055555555555555,18,0.6111111111111112,0,
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,1,pX,1440,0.0002693775595920124,0.0001466474059230198,0.965206691154718,0.0006278335418564899,504,0.8134920634920635,2,1.0,0,,0,
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,1,v,1440,0.00128962732326676,0.0007605084112941347,1.016925659783012,0.003225742105181095,912,0.6019736842105263,534,0.5823970037453183,207,0.4782608695652174,0,
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,2,pX,1440,8.143935976970202e-05,3.9932283632421914e-05,1.0642747344211874,0.00023300181552717028,62,0.967741935483871,0,,0,,0,
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,2,v,1440,0.00045736331473844035,0.00023802748890525808,1.0796950543878996,0.001244665673240635,555,0.518918918918919,60,0.36666666666666664,6,0.0,0,
B5_EXACT_SELECTED_DIAGNOSTIC,1,64,1,pX,4320,0.0002693775595920124,0.001425068119525148,12.298147371451707,0.006792919284221317,1512,0.4914021164021164,6,0.8333333333333334,0,,0,
B5_EXACT_SELECTED_DIAGNOSTIC,1,64,1,v,4320,0.0012896273232667602,0.001588010593343258,2.4072301577083652,0.0064600466341223125,2736,0.49378654970760233,1602,0.4868913857677903,621,0.4927536231884058,0,
B5_EXACT_SELECTED_DIAGNOSTIC,1,64,2,pX,4320,8.143935976970202e-05,0.0004184031576942067,14.39908539852711,0.0023243266480965155,186,0.46236559139784944,0,,0,,0,
B5_EXACT_SELECTED_DIAGNOSTIC,1,64,2,v,4320,0.00045736331473844035,0.0004929873945894301,2.6939332990384233,0.002527538846163867,1665,0.4852852852852853,180,0.5055555555555555,18,0.6111111111111112,0,
B5_EXACT_SELECTED_DIAGNOSTIC,1,256,1,pX,7200,0.0002693775595920124,0.0007626641792037611,6.203187692363266,0.0035194007004726844,2520,0.5388888888888889,10,0.7,0,,0,
B5_EXACT_SELECTED_DIAGNOSTIC,1,256,1,v,7200,0.00128962732326676,0.001279695156818088,1.7864245792130944,0.004941301959805243,4560,0.4631578947368421,2670,0.4385767790262172,1035,0.4628019323671498,0,
B5_EXACT_SELECTED_DIAGNOSTIC,1,256,2,pX,7200,8.143935976970202e-05,0.00022111164353117655,7.497720168447659,0.0012468629568656395,310,0.5096774193548387,0,,0,,0,
B5_EXACT_SELECTED_DIAGNOSTIC,1,256,2,v,7200,0.00045736331473844035,0.00038385576971283536,1.9005505665753817,0.001855162787563391,2775,0.4763963963963964,300,0.45666666666666667,30,0.5,0,
B6_FULL_Q_RIDGE,FULL,exact,1,pX,1440,0.0002693775595920124,5.348849665973536e-05,0.3119371756979231,0.00018478326591973713,504,1.0,2,1.0,0,,0,
B6_FULL_Q_RIDGE,FULL,exact,1,v,1440,0.00128962732326676,0.00040371204725138827,0.494026911026998,0.0014002378446337199,912,0.9747807017543859,534,0.9775280898876404,207,0.9710144927536232,0,
B6_FULL_Q_RIDGE,FULL,exact,2,pX,1440,8.143935976970202e-05,1.3426561415947146e-05,0.3351910237221468,6.565728936668045e-05,62,1.0,0,,0,,0,
B6_FULL_Q_RIDGE,FULL,exact,2,v,1440,0.00045736331473844035,0.00011710905863770131,0.4737798562611964,0.00047501531320782493,555,0.9891891891891892,60,1.0,6,1.0,0,
B6_FULL_Q_RIDGE,FULL,64,1,pX,4320,0.0002693775595920124,0.00173588986402247,11.921332083516129,0.006950324179972276,1512,0.5238095238095238,6,0.8333333333333334,0,,0,
B6_FULL_Q_RIDGE,FULL,64,1,v,4320,0.0012896273232667602,0.001724047811151326,2.4432467244873344,0.00690631277760218,2736,0.5964912280701754,1602,0.5848938826466916,621,0.5925925925925926,0,
B6_FULL_Q_RIDGE,FULL,64,2,pX,4320,8.143935976970202e-05,0.000489942178058518,13.53020535951627,0.002557905846753609,186,0.5161290322580645,0,,0,,0,
B6_FULL_Q_RIDGE,FULL,64,2,v,4320,0.00045736331473844035,0.0005135685647268708,2.565074456436533,0.0027874675781431506,1665,0.6066066066066066,180,0.5833333333333334,18,0.7222222222222222,0,
B6_FULL_Q_RIDGE,FULL,256,1,pX,7200,0.0002693775595920124,0.000884082499605919,5.975905634692154,0.0035140865635382287,2520,0.5630952380952381,10,0.6,0,,0,
B6_FULL_Q_RIDGE,FULL,256,1,v,7200,0.00128962732326676,0.0008982047788906368,1.2608082527720565,0.0036824950751661242,4560,0.6822368421052631,2670,0.698876404494382,1035,0.7014492753623188,0,
B6_FULL_Q_RIDGE,FULL,256,2,pX,7200,8.143935976970202e-05,0.00024733817265053964,6.825976982970182,0.0012872361498247997,310,0.5161290322580645,0,,0,,0,
B6_FULL_Q_RIDGE,FULL,256,2,v,7200,0.00045736331473844035,0.00027659971651846233,1.3417409064001677,0.001387073092590349,2775,0.6875675675675675,300,0.7633333333333333,30,0.9,0,
O0_FULL_J_ORACLE,FULL,exact,1,pX,1440,0.0002693775595920124,8.456777922226426e-06,0.049774864757771896,2.7877514787764975e-05,504,1.0,2,1.0,0,,0,
O0_FULL_J_ORACLE,FULL,exact,1,v,1440,0.00128962732326676,2.2765397271484996e-05,0.028444583979212987,8.333243848773484e-05,912,1.0,534,1.0,207,1.0,0,
O0_FULL_J_ORACLE,FULL,exact,2,pX,1440,8.143935976970202e-05,2.2323368864772298e-06,0.05848402688961362,1.1058488252304997e-05,62,1.0,0,,0,,0,
O0_FULL_J_ORACLE,FULL,exact,2,v,1440,0.00045736331473844035,6.415524921301816e-06,0.029803496988149516,3.542834684037496e-05,555,1.0,60,1.0,6,1.0,0,
O0_FULL_J_ORACLE,FULL,64,1,pX,4320,0.0002693775595920124,8.456777922226426e-06,0.049774864757771896,2.7877514787765032e-05,1512,1.0,6,1.0,0,,0,
O0_FULL_J_ORACLE,FULL,64,1,v,4320,0.0012896273232667602,2.2765397271484996e-05,0.028444583979212987,8.333243848773494e-05,2736,1.0,1602,1.0,621,1.0,0,
O0_FULL_J_ORACLE,FULL,64,2,pX,4320,8.143935976970202e-05,2.2323368864772298e-06,0.05848402688961361,1.1058488252305016e-05,186,1.0,0,,0,,0,
O0_FULL_J_ORACLE,FULL,64,2,v,4320,0.00045736331473844035,6.415524921301816e-06,0.029803496988149516,3.542834684037498e-05,1665,1.0,180,1.0,18,1.0,0,
